PROBE_ID	7677153062_B.VALUE	7677153062_B.Detection Pval
ILMN_1665691	93.47595	0.1753247
ILMN_1725534	290.8352	0.001298701
ILMN_1798254	263.6698	0.002597403
ILMN_1792314	252.2763	0.003896104
ILMN_1695821	342.5923	0
ILMN_2388605	2169.667	0
ILMN_1657153	539.025	0
ILMN_2260392	77.51119	0.5493507
ILMN_2346451	77.4682	0.5532467
ILMN_1787513	86.28376	0.274026
ILMN_1680941	88.44679	0.2441558
ILMN_1652594	121.0174	0.05714286
ILMN_1697585	170.2149	0.01948052
ILMN_1689162	97.6739	0.1428571
ILMN_1815392	259.95	0.002597403
ILMN_3241416	72.73827	0.851948
ILMN_1760490	194.5776	0.009090909
ILMN_1786544	85.96042	0.2818182
ILMN_1763916	95.24062	0.1584416
ILMN_2243308	186.7542	0.01038961
ILMN_1766723	87.97134	0.2506494
ILMN_1689217	81.37337	0.3987013
ILMN_1670912	81.83636	0.3857143
ILMN_2152711	95.10075	0.1584416
ILMN_1668983	73.62161	0.8103896
ILMN_1824337	76.96867	0.5857143
ILMN_1807493	74.58131	0.7467533
ILMN_3250257	79.72065	0.4571429
ILMN_1683883	89.83637	0.2181818
ILMN_1670193	121.7408	0.05714286
ILMN_2319825	98.15269	0.138961
ILMN_1694233	167.3432	0.02337662
ILMN_1686432	73.15197	0.8311688
ILMN_1697550	182.1275	0.01038961
ILMN_2158705	107.072	0.08441558
ILMN_1803686	159.2059	0.02467532
ILMN_1745580	69.34019	0.9701298
ILMN_1745108	72.68056	0.8545455
ILMN_1725043	96.88768	0.1493506
ILMN_2148360	133.1729	0.04415584
ILMN_1718946	270.2691	0.002597403
ILMN_1711374	87.20856	0.2649351
ILMN_1726266	76.21133	0.625974
ILMN_1705689	73.17681	0.8311688
ILMN_1785393	83.24597	0.3441558
ILMN_2384544	143.8826	0.03636364
ILMN_1756920	426.4816	0
ILMN_1799728	97.89761	0.1402597
ILMN_1751500	91.20068	0.1987013
ILMN_2121068	403.1486	0
ILMN_1765779	100.8587	0.1220779
ILMN_2201386	74.43446	0.7584416
ILMN_1682225	72.17583	0.8844156
ILMN_1788481	94.39632	0.1675325
ILMN_1713751	864.657	0
ILMN_1662675	84.23872	0.3207792
ILMN_1737629	79.4357	0.4675325
ILMN_1812112	76.48058	0.6181818
ILMN_3241313	82.12527	0.3792208
ILMN_1675210	78.07979	0.5194805
ILMN_1706302	75.42639	0.6883117
ILMN_2351754	72.75345	0.851948
ILMN_2060086	79.89381	0.451948
ILMN_1664236	97.30393	0.1454545
ILMN_1664631	111.0413	0.07922078
ILMN_1802100	80.72578	0.4220779
ILMN_2194158	78.32307	0.5051948
ILMN_2100871	83.48458	0.3350649
ILMN_1806841	109.481	0.08051948
ILMN_1798045	75.27779	0.7051948
ILMN_2293012	70.73367	0.9298701
ILMN_1703383	105.5903	0.09090909
ILMN_1651657	87.98502	0.2506494
ILMN_1671297	125.1734	0.05324675
ILMN_1669486	76.22295	0.625974
ILMN_1795204	89.97973	0.2168831
ILMN_2223911	71.81068	0.9
ILMN_1685531	69.12377	0.9727273
ILMN_1764554	73.40959	0.8181818
ILMN_2302214	78.0004	0.5207792
ILMN_1783312	81.61922	0.3935065
ILMN_2143210	81.38496	0.3987013
ILMN_1750294	81.08417	0.4064935
ILMN_1708348	759.6741	0
ILMN_1727524	155.6612	0.02597403
ILMN_1716909	75.81518	0.6545454
ILMN_2103107	129.3943	0.04935065
ILMN_1673566	82.60999	0.3623376
ILMN_1751168	81.03793	0.4064935
ILMN_1660970	79.5183	0.4649351
ILMN_1787386	73.84747	0.8025974
ILMN_2286570	81.48066	0.3961039
ILMN_2413732	72.1001	0.8896104
ILMN_1873412	94.02399	0.1714286
ILMN_1676452	79.43293	0.4675325
ILMN_2358134	78.96179	0.4792208
ILMN_1683781	80.68523	0.4246753
ILMN_1726247	89.85399	0.2181818
ILMN_1682989	145.7951	0.03376623
ILMN_1739872	71.2505	0.9233766
ILMN_1770152	76.89167	0.5935065
ILMN_1656171	74.00491	0.7922078
ILMN_1796628	81.15065	0.4051948
ILMN_1811765	81.9613	0.3792208
ILMN_1791795	75.00805	0.7194805
ILMN_1787908	79.47112	0.4662338
ILMN_1651717	86.53574	0.2727273
ILMN_1703803	78.01958	0.5194805
ILMN_2092933	82.68871	0.361039
ILMN_1681886	75.75581	0.6558442
ILMN_1767362	82.20475	0.3779221
ILMN_3251322	77.12063	0.5779221
ILMN_2211790	80.27463	0.4415585
ILMN_1672403	75.36731	0.6896104
ILMN_1805543	92.1814	0.1883117
ILMN_1706992	147.5053	0.03376623
ILMN_1684919	77.22924	0.5714286
ILMN_1727084	82.01719	0.3792208
ILMN_1705250	73.78571	0.8064935
ILMN_1722621	80.07593	0.448052
ILMN_1721495	92.7765	0.1792208
ILMN_1798690	83.61953	0.3324675
ILMN_1687035	113.7534	0.06883117
ILMN_1777683	101.4857	0.1181818
ILMN_1762294	102.1829	0.1142857
ILMN_1793040	129.5016	0.04935065
ILMN_3247424	157.5003	0.02467532
ILMN_1763000	262.3507	0.002597403
ILMN_1776777	2612.533	0
ILMN_1706963	73.17565	0.8311688
ILMN_2320964	1019.208	0
ILMN_1697628	102.6516	0.112987
ILMN_2319326	132.1521	0.04545455
ILMN_1657442	96.15971	0.151948
ILMN_1679797	307.6281	0
ILMN_1749493	72.90402	0.8402597
ILMN_1657139	201.4187	0.007792208
ILMN_3245693	82.74643	0.3571429
ILMN_1806275	97.77898	0.1415584
ILMN_1659599	96.58372	0.1493506
ILMN_1698777	123.2971	0.05454545
ILMN_1663132	145.3836	0.03376623
ILMN_1700349	113.8373	0.06753246
ILMN_1761309	95.00684	0.1584416
ILMN_2120555	87.58076	0.2597403
ILMN_1742073	70.82504	0.9285714
ILMN_3241894	115.4636	0.06623377
ILMN_1810691	112.6794	0.07012987
ILMN_1676893	190.2323	0.009090909
ILMN_2148944	155.8895	0.02597403
ILMN_1708588	77.11151	0.5779221
ILMN_2311674	92.68465	0.1818182
ILMN_1685156	78.66897	0.4909091
ILMN_1655935	298.6476	0.001298701
ILMN_1754440	88.32853	0.2467532
ILMN_1654287	85.918	0.2818182
ILMN_1763344	86.84592	0.2675325
ILMN_1711736	143.552	0.03766234
ILMN_2356786	162.6068	0.02467532
ILMN_1759252	1951.058	0
ILMN_1678791	77.01655	0.5818182
ILMN_2336146	76.23474	0.625974
ILMN_2286339	95.56273	0.1545455
ILMN_1694133	74.02624	0.7909091
ILMN_1678501	81.35531	0.3987013
ILMN_1787378	704.9066	0
ILMN_1814526	1026.847	0
ILMN_2311278	477.3929	0
ILMN_1764309	127.1247	0.05194805
ILMN_1811598	79.48125	0.4662338
ILMN_1740717	73.52216	0.8155844
ILMN_2136010	82.08601	0.3792208
ILMN_1797912	79.08692	0.4779221
ILMN_1738604	85.77289	0.2844156
ILMN_1691175	145.3025	0.03376623
ILMN_2223359	73.84318	0.8025974
ILMN_1702858	177.4072	0.01298701
ILMN_2363634	111.8514	0.07402597
ILMN_1813975	85.29027	0.2909091
