PROBE_ID	7677153059_L.VALUE	7677153059_L.Detection Pval
ILMN_2367070	158.7041	0.01818182
ILMN_1658995	175.6811	0.009090909
ILMN_1750158	257.346	0
ILMN_1668839	111.0123	0.261039
ILMN_1765767	129.402	0.06493507
ILMN_1685703	108.48	0.3207792
ILMN_1743396	140.9479	0.04285714
ILMN_1743680	95.89212	0.8363636
ILMN_1669633	202.1432	0.005194805
ILMN_2344956	438.6165	0
ILMN_2104830	149.8349	0.02597403
ILMN_2078599	127.9359	0.07402597
ILMN_2234343	114.3927	0.1909091
ILMN_1706598	129.4019	0.06493507
ILMN_2306955	143.4617	0.03896104
ILMN_1758323	162.1268	0.01688312
ILMN_1728331	237.2271	0.002597403
ILMN_2351906	108.2489	0.325974
ILMN_1705637	160.2153	0.01818182
ILMN_1784203	183.3121	0.007792208
ILMN_1666690	115.0142	0.1844156
ILMN_1654468	182.4316	0.007792208
ILMN_2320277	110.2856	0.274026
ILMN_2227011	112.4571	0.2220779
ILMN_1730002	105.7245	0.4038961
ILMN_3236756	114.3037	0.1922078
ILMN_1716832	108.6788	0.3142857
ILMN_1684585	911.762	0
ILMN_2360705	200.6513	0.005194805
ILMN_1654414	122.2538	0.1064935
ILMN_1666096	123.921	0.08961039
ILMN_2391458	124.8364	0.08571429
ILMN_2285506	105.9694	0.3896104
ILMN_1691714	98.64388	0.7376623
ILMN_1683598	354.0179	0
ILMN_2370882	156.0158	0.02077922
ILMN_2273911	100.5477	0.6376624
ILMN_1807914	94.01334	0.9155844
ILMN_1678517	99.71066	0.6922078
ILMN_1705247	371.9664	0
ILMN_1737418	119.0971	0.1324675
ILMN_2278242	98.26311	0.7519481
ILMN_1730025	105.8353	0.3948052
ILMN_2378555	141.4021	0.04285714
ILMN_1661434	91.82801	0.9558442
ILMN_1809623	115.4842	0.1779221
ILMN_1657592	97.2831	0.7831169
ILMN_1765912	106.4886	0.3766234
ILMN_1746128	102.1977	0.5519481
ILMN_1685952	96.52805	0.8038961
ILMN_1662738	109.0355	0.3
ILMN_1771084	113.3366	0.2051948
ILMN_1791923	97.93133	0.761039
ILMN_1801698	104.8977	0.4298701
ILMN_1766966	99.44913	0.7025974
ILMN_2070792	113.1106	0.2168831
ILMN_1752269	182.8475	0.007792208
ILMN_1697510	104.6018	0.4415585
ILMN_2254962	109.0358	0.3
ILMN_2336595	327.5234	0
ILMN_1714197	369.6408	0
ILMN_1742859	100.8602	0.6207792
ILMN_1659885	101.4758	0.5961039
ILMN_2125869	120.9415	0.112987
ILMN_1671703	286.5817	0
ILMN_2152131	9521.745	0
ILMN_1777296	7073.026	0
ILMN_2038777	9516.238	0
ILMN_3246895	99.58522	0.6974026
ILMN_1658660	104.2407	0.4545455
ILMN_1829919	100.3311	0.6545454
ILMN_2053178	5442.72	0
ILMN_1704961	1802.062	0
ILMN_1795325	88.96085	0.9844156
ILMN_1749297	233.0087	0.002597403
ILMN_2328280	168.2656	0.01298701
ILMN_1657855	178.7871	0.009090909
ILMN_1717900	94.55654	0.8896104
ILMN_1796088	111.1342	0.2558441
ILMN_1704078	101.9218	0.5727273
ILMN_2232177	797.5081	0
ILMN_1654422	103.7926	0.4727273
ILMN_1665691	116.0094	0.174026
ILMN_1725534	293.4607	0
ILMN_1798254	257.4629	0
ILMN_1792314	261.6472	0
ILMN_1695821	289.1411	0
ILMN_2388605	1685.269	0
ILMN_1657153	411.6261	0
ILMN_2260392	101.3452	0.6038961
ILMN_2346451	107.3733	0.3493507
ILMN_1787513	108.6256	0.3168831
ILMN_1680941	116.9534	0.161039
ILMN_1652594	138.2469	0.04805195
ILMN_1697585	189.3487	0.007792208
ILMN_1689162	121.687	0.1077922
ILMN_1815392	185.8601	0.007792208
ILMN_3241416	99.83656	0.6857143
ILMN_1760490	196.3745	0.005194805
ILMN_1786544	101.8618	0.574026
ILMN_1763916	117.28	0.1558442
ILMN_2243308	158.3364	0.01948052
ILMN_1766723	98.4258	0.7519481
ILMN_1689217	111.879	0.2350649
ILMN_1670912	108.4039	0.3233766
ILMN_2152711	110.0026	0.2792208
ILMN_1668983	99.50411	0.7025974
ILMN_1824337	99.37634	0.7064935
ILMN_1807493	93.34945	0.9311689
ILMN_3250257	100.9529	0.6168831
ILMN_1683883	121.1981	0.1103896
ILMN_1670193	122.9265	0.0961039
ILMN_2319825	125.762	0.08051948
ILMN_1694233	184.9673	0.007792208
ILMN_1686432	100.469	0.6402597
ILMN_1697550	190.5747	0.007792208
ILMN_2158705	123.3231	0.0948052
ILMN_1803686	198.1995	0.005194805
ILMN_1745580	100.1876	0.6636364
ILMN_1745108	98.72569	0.7337663
ILMN_1725043	110.3542	0.2727273
ILMN_2148360	132.9261	0.05714286
ILMN_1718946	201.1461	0.005194805
ILMN_1711374	116.9046	0.1623377
ILMN_1726266	98.74266	0.7337663
ILMN_1705689	93.31155	0.9311689
ILMN_1785393	105.4245	0.4142857
ILMN_2384544	173.4503	0.01038961
ILMN_1756920	364.1765	0
ILMN_1799728	128.3256	0.07142857
ILMN_1751500	112.0066	0.2324675
ILMN_2121068	352.2164	0
ILMN_1765779	116.9091	0.1623377
ILMN_2201386	94.29945	0.9
ILMN_1682225	89.62241	0.9792208
ILMN_1788481	105.6823	0.4064935
ILMN_1713751	558.4195	0
ILMN_1662675	106.4585	0.3779221
ILMN_1737629	100.7017	0.6324675
ILMN_1812112	106.0154	0.3896104
ILMN_3241313	91.78723	0.9558442
ILMN_1675210	94.30916	0.9
ILMN_1706302	96.1526	0.8168831
ILMN_2351754	99.17472	0.7142857
ILMN_2060086	89.36384	0.9805195
ILMN_1664236	100.2504	0.6571429
ILMN_1664631	124.1635	0.08701298
ILMN_1802100	109.0597	0.3
ILMN_2194158	110.206	0.2753247
ILMN_2100871	104.9737	0.4272727
ILMN_1806841	123.0623	0.0961039
ILMN_1798045	104.4511	0.4441558
ILMN_2293012	90.06637	0.9779221
ILMN_1703383	121.1454	0.1103896
ILMN_1651657	102.6126	0.5298702
ILMN_1671297	136.5188	0.04935065
ILMN_1669486	96.15419	0.8168831
ILMN_1795204	108.3501	0.3233766
ILMN_2223911	96.70547	0.7974026
ILMN_1685531	102.2852	0.548052
ILMN_1764554	119.175	0.1324675
ILMN_2302214	106.6212	0.3727273
ILMN_1783312	106.4589	0.3779221
ILMN_2143210	99.92957	0.6792208
ILMN_1750294	93.96701	0.9155844
ILMN_1708348	637.1501	0
ILMN_1727524	141.5919	0.04155844
ILMN_1716909	104.0097	0.4636364
ILMN_2103107	137.52	0.04805195
ILMN_1673566	98.45206	0.7506493
ILMN_1751168	98.4845	0.7480519
ILMN_1660970	99.04224	0.7220779
ILMN_1787386	96.32042	0.8116883
ILMN_2286570	96.83884	0.7961039
ILMN_2413732	92.52068	0.9428571
ILMN_1873412	110.6806	0.2662338
ILMN_1676452	104.1009	0.4597403
ILMN_2358134	93.33841	0.9311689
ILMN_1683781	96.60471	0.8012987
ILMN_1726247	97.9212	0.761039
ILMN_1682989	162.5152	0.01688312
ILMN_1739872	97.56002	0.7779221
ILMN_1770152	91.46887	0.9571428
ILMN_1656171	102.2713	0.548052
ILMN_1796628	111.6834	0.2441558
ILMN_1811765	97.41862	0.7805195
ILMN_1791795	103.6628	0.4818182
ILMN_1787908	100.5234	0.6376624
ILMN_1651717	113.6358	0.1974026
ILMN_1703803	98.23242	0.7532467
ILMN_2092933	108.5614	0.3194805
ILMN_1681886	94.47318	0.8896104
ILMN_1767362	102.9784	0.5116883
ILMN_3251322	107.3953	0.3480519
ILMN_2211790	95.59158	0.8467532
ILMN_1672403	112.8958	0.2194805
ILMN_1805543	111.0192	0.261039
ILMN_1706992	157.0419	0.02077922
ILMN_1684919	96.23937	0.812987
ILMN_1727084	98.81438	0.7298701
ILMN_1705250	104.3634	0.4467532
ILMN_1722621	98.12456	0.7584416
ILMN_1721495	107.118	0.3597403
ILMN_1798690	95.46597	0.8532467
ILMN_1687035	125.5691	0.08181818
ILMN_1777683	117.9973	0.1467533
ILMN_1762294	130.9854	0.06103896
ILMN_1793040	132.8803	0.05714286
ILMN_3247424	165.914	0.01298701
ILMN_1763000	181.1427	0.009090909
ILMN_1776777	2036.041	0
ILMN_1706963	96.79636	0.7974026
ILMN_2320964	670.9781	0
ILMN_1697628	123.0311	0.0961039
ILMN_2319326	156.5876	0.02077922
ILMN_1657442	113.1588	0.2142857
ILMN_1679797	338.9262	0
ILMN_1749493	113.9854	0.1922078
ILMN_1657139	210.6687	0.005194805
ILMN_3245693	107.4958	0.3441558
ILMN_1806275	116.6639	0.1649351
ILMN_1659599	115.2388	0.1831169
ILMN_1698777	134.3054	0.05584415
ILMN_1663132	155.9785	0.02077922
ILMN_1700349	142.8883	0.03896104
ILMN_1761309	108.7497	0.3116883
ILMN_2120555	112.0558	0.2324675
ILMN_1742073	102.4961	0.5376623
ILMN_3241894	128.3642	0.07142857
ILMN_1810691	128.6495	0.06753246
ILMN_1676893	203.9482	0.005194805
ILMN_2148944	145.7972	0.03636364
ILMN_1708588	102.9753	0.512987
ILMN_2311674	109.991	0.2792208
ILMN_1685156	108.7975	0.3103896
ILMN_1655935	241.7749	0.002597403
ILMN_1754440	112.1275	0.2311688
ILMN_1654287	108.6677	0.3142857
ILMN_1763344	99.53568	0.7025974
ILMN_1711736	148.0347	0.02987013
ILMN_2356786	194.9266	0.005194805
ILMN_1759252	1412.734	0
ILMN_1678791	97.47173	0.7805195
ILMN_2336146	96.88664	0.7935065
ILMN_2286339	104.0743	0.4597403
ILMN_1694133	106.4857	0.3766234
ILMN_1678501	95.31948	0.8571429
ILMN_1787378	639.1506	0
ILMN_1814526	796.3951	0
ILMN_2311278	392.1112	0
ILMN_1764309	136.0414	0.05064935
ILMN_1811598	105.3944	0.4142857
ILMN_1740717	108.378	0.3233766
ILMN_2136010	94.02444	0.9155844
ILMN_1797912	100.2658	0.6558442
ILMN_1738604	107.7646	0.3363636
ILMN_1691175	134.9761	0.05454545
ILMN_2223359	99.21552	0.712987
ILMN_1702858	211.6469	0.005194805
ILMN_2363634	151.0147	0.02337662
ILMN_1813975	99.08532	0.7194805
ILMN_1743331	95.35639	0.8571429
ILMN_1775045	113.2699	0.2090909
ILMN_2096322	341.5067	0
ILMN_1688322	500.0089	0
ILMN_2224833	259.686	0
ILMN_2358626	154.2588	0.02207792
ILMN_1768062	95.56137	0.848052
ILMN_2358628	107.5586	0.3441558
ILMN_1801020	124.9432	0.08571429
ILMN_1708934	681.0426	0
ILMN_1702933	155.2558	0.02207792
ILMN_1657993	198.1904	0.005194805
ILMN_1666019	162.7073	0.01688312
ILMN_2080751	153.5374	0.02337662
ILMN_1690352	164.9754	0.01428571
ILMN_2275396	108.8367	0.3051948
ILMN_2373444	130.4104	0.06103896
ILMN_1747227	138.6203	0.04545455
ILMN_1807372	176.8602	0.009090909
ILMN_1703946	123.1886	0.0948052
ILMN_1733259	115.7588	0.1753247
ILMN_1730710	128.006	0.07402597
ILMN_1793959	313.9388	0
ILMN_1794512	125.4427	0.08181818
ILMN_1795788	93.04833	0.9350649
ILMN_1760335	126.5886	0.07792208
ILMN_1788530	139.5943	0.04415584
ILMN_1811480	202.7959	0.005194805
ILMN_1813598	115.3121	0.1792208
ILMN_1653821	104.1199	0.4597403
ILMN_1780551	113.34	0.2051948
ILMN_1669227	102.9177	0.5181818
ILMN_1709167	91.58387	0.9571428
ILMN_1679754	119.4331	0.1311688
ILMN_1716421	162.5753	0.01688312
ILMN_1659371	259.999	0
ILMN_1677868	111.6566	0.2441558
ILMN_1707445	101.5221	0.5909091
ILMN_1733963	139.9463	0.04285714
ILMN_1804255	101.8245	0.5753247
ILMN_1695590	491.9194	0
ILMN_1694007	97.07244	0.7896104
ILMN_3307926	1865.626	0
ILMN_1673330	109.6416	0.287013
ILMN_1668900	125.7214	0.08181818
ILMN_2389013	168.0546	0.01298701
ILMN_1760143	389.7966	0
ILMN_1790757	333.6505	0
ILMN_2092664	312.3263	0
ILMN_1778796	178.5413	0.009090909
ILMN_1749804	124.4799	0.08571429
ILMN_1720235	111.649	0.2441558
ILMN_2240009	109.8172	0.2805195
ILMN_1736178	115.4762	0.1792208
ILMN_1803376	170.9096	0.01168831
ILMN_3240321	129.788	0.06363636
ILMN_1712944	897.3748	0
ILMN_2333107	357.185	0
ILMN_1707958	113.8481	0.1935065
ILMN_1660424	95.83258	0.8363636
ILMN_1701998	114.7084	0.187013
ILMN_1651235	98.15776	0.7584416
ILMN_1694140	104.9236	0.4298701
ILMN_1730995	125.2415	0.08441558
ILMN_2404917	102.465	0.5389611
ILMN_1702696	105.7323	0.4012987
ILMN_2084562	108.8875	0.3038961
ILMN_1769563	101.608	0.5857143
ILMN_1673119	118.9375	0.1337662
ILMN_2129015	196.5252	0.005194805
ILMN_1725889	100.3182	0.6545454
ILMN_1775235	125.0118	0.08571429
ILMN_1677951	94.68417	0.8857143
ILMN_1708502	171.2009	0.01038961
ILMN_1705447	181.8797	0.007792208
ILMN_1699172	116.9153	0.1623377
ILMN_2409898	99.34323	0.7077922
ILMN_2295698	104.806	0.4324675
ILMN_2066124	205.0472	0.005194805
ILMN_1777797	95.13628	0.8623376
ILMN_2095653	107.2678	0.3519481
ILMN_1707551	133.8073	0.05584415
ILMN_1782204	97.51202	0.7792208
ILMN_2402766	266.644	0
ILMN_1767722	121.0849	0.1116883
ILMN_2342841	196.1769	0.005194805
ILMN_1802631	139.3398	0.04545455
ILMN_2318481	91.91192	0.9558442
ILMN_2245223	115.7308	0.1753247
ILMN_3238543	107.9122	0.3337662
ILMN_1735591	143.0438	0.03896104
ILMN_2362126	131.2212	0.06103896
ILMN_2269136	140.515	0.04285714
