PROBE_ID	7677153059_K.VALUE	7677153059_K.Detection Pval
ILMN_2352009	233.8716	0
ILMN_1693148	80.50009	0.9701298
ILMN_1808395	523.6724	0
ILMN_3236270	333.0107	0
ILMN_1743847	93.92635	0.635065
ILMN_1800008	240.4986	0
ILMN_2133799	88.41457	0.8051948
ILMN_1708672	212.1607	0.001298701
ILMN_1665945	281.4561	0
ILMN_1676288	111.4889	0.1922078
ILMN_1693250	106.9531	0.2623377
ILMN_2295980	105.7028	0.287013
ILMN_2410362	94.69035	0.6181818
ILMN_1684271	93.81551	0.6376624
ILMN_1726388	92.99157	0.6675324
ILMN_2106002	112.441	0.1792208
ILMN_1779685	129.0442	0.05324675
ILMN_1665932	106.2082	0.2753247
ILMN_1769694	91.46641	0.7116883
ILMN_1727251	99.84241	0.4350649
ILMN_1734479	118.8707	0.1168831
ILMN_2368728	124.1185	0.07662338
ILMN_2394897	89.03902	0.7844156
ILMN_2394902	92.27718	0.6909091
ILMN_2287535	91.01675	0.7220779
ILMN_1750295	136.1044	0.03766234
ILMN_3187680	194.692	0.005194805
ILMN_3242266	115.8916	0.1350649
ILMN_1780630	120.1867	0.1077922
ILMN_1716480	168.7357	0.01038961
ILMN_1715192	104.8348	0.3064935
ILMN_2339410	88.87374	0.7896104
ILMN_1779984	88.45605	0.8051948
ILMN_1667018	127.0509	0.05974026
ILMN_1773243	88.75471	0.7948052
ILMN_3241214	125.697	0.06623377
ILMN_3235340	94.98373	0.612987
ILMN_1761000	106.4517	0.274026
ILMN_3237774	151.4084	0.02597403
ILMN_2333219	91.06934	0.7220779
ILMN_1780485	128.5641	0.05324675
ILMN_1735471	151.992	0.02597403
ILMN_1699636	400.7274	0
ILMN_2371379	445.9397	0
ILMN_1749014	301.8726	0
ILMN_1727091	107.4431	0.2558441
ILMN_1771348	157.4657	0.01688312
ILMN_2134039	3893.645	0
ILMN_1750800	191.4409	0.007792208
ILMN_1654861	154.0074	0.02207792
ILMN_2121389	92.07237	0.6948052
