PROBE_ID	7677153059_F.VALUE	7677153059_F.Detection Pval
ILMN_2254962	98.2993	0.1090909
ILMN_2336595	350.0614	0
ILMN_1714197	407.5844	0
ILMN_1742859	76.19691	0.8987013
ILMN_1659885	87.36992	0.2831169
ILMN_2125869	99.89154	0.1025974
ILMN_1671703	298.7866	0
ILMN_2152131	10066.04	0
ILMN_1777296	7502.334	0
ILMN_2038777	9507.015	0
ILMN_3246895	82.54841	0.4584416
ILMN_1658660	86.22216	0.3077922
ILMN_1829919	77.22799	0.8363636
ILMN_2053178	7128.704	0
ILMN_1704961	2590.361	0
ILMN_1795325	80.65395	0.5909091
ILMN_1749297	230.8981	0
ILMN_2328280	170.103	0.009090909
ILMN_1657855	187.546	0.005194805
ILMN_1717900	76.15434	0.9
ILMN_1796088	79.18036	0.6948052
ILMN_1704078	79.39631	0.6831169
ILMN_2232177	821.6708	0
ILMN_1654422	75.41483	0.9337662
ILMN_1665691	95.6346	0.1376623
ILMN_1725534	299.3931	0
ILMN_1798254	288.4932	0
ILMN_1792314	256.2584	0
ILMN_1695821	301.3868	0
ILMN_2388605	1927.69	0
ILMN_1657153	533.6434	0
ILMN_2260392	82.80466	0.4441558
ILMN_2346451	81.38217	0.5454546
ILMN_1787513	98.5936	0.1077922
ILMN_1680941	87.07728	0.2935065
ILMN_1652594	125.2249	0.03246753
ILMN_1697585	202.4856	0.002597403
ILMN_1689162	100.3388	0.09740259
ILMN_1815392	188.6993	0.005194805
ILMN_3241416	75.65392	0.9220779
ILMN_1760490	184.4201	0.005194805
ILMN_1786544	87.07712	0.2935065
ILMN_1763916	97.54523	0.1142857
ILMN_2243308	177.4109	0.006493506
ILMN_1766723	86.94182	0.2961039
ILMN_1689217	89.70437	0.2220779
ILMN_1670912	91.42485	0.1883117
ILMN_2152711	102.8551	0.08181818
ILMN_1668983	78.65912	0.7285714
ILMN_1824337	79.01643	0.7077922
ILMN_1807493	75.87639	0.9181818
ILMN_3250257	91.84792	0.1805195
ILMN_1683883	94.02094	0.1480519
ILMN_1670193	107.3186	0.06493507
ILMN_2319825	98.92338	0.1064935
ILMN_1694233	189.2628	0.005194805
ILMN_1686432	76.97523	0.848052
ILMN_1697550	154.7641	0.01298701
ILMN_2158705	107.0548	0.06623377
ILMN_1803686	211.0434	0.002597403
ILMN_1745580	73.18103	0.9766234
ILMN_1745108	78.32973	0.7545455
ILMN_1725043	99.75246	0.1038961
ILMN_2148360	123.173	0.03636364
ILMN_1718946	275.6235	0
ILMN_1711374	86.98018	0.2948052
ILMN_1726266	84.62672	0.3727273
ILMN_1705689	84.15032	0.3909091
ILMN_1785393	86.36407	0.3038961
ILMN_2384544	144.7767	0.01688312
ILMN_1756920	414.0588	0
ILMN_1799728	99.61209	0.1038961
ILMN_1751500	94.04667	0.1480519
ILMN_2121068	372.8808	0
ILMN_1765779	91.23006	0.1922078
ILMN_2201386	76.35186	0.8909091
ILMN_1682225	78.97291	0.7077922
ILMN_1788481	87.75677	0.2662338
ILMN_1713751	874.8837	0
ILMN_1662675	80.13762	0.6220779
ILMN_1737629	87.75729	0.2662338
ILMN_1812112	77.34177	0.8311688
ILMN_3241313	76.72958	0.8636364
ILMN_1675210	82.70003	0.4506494
ILMN_1706302	80.94913	0.5675325
ILMN_2351754	82.78407	0.4441558
ILMN_2060086	82.54971	0.4571429
ILMN_1664236	86.56754	0.3025974
ILMN_1664631	108.8107	0.06103896
ILMN_1802100	86.00891	0.3155844
ILMN_2194158	82.79427	0.4441558
ILMN_2100871	79.02721	0.7064935
ILMN_1806841	106.6468	0.06753246
ILMN_1798045	85.62901	0.3324675
ILMN_2293012	77.89495	0.7909091
ILMN_1703383	101.1747	0.09220779
ILMN_1651657	84.36241	0.3792208
ILMN_1671297	115.6168	0.04935065
ILMN_1669486	78.4082	0.7480519
ILMN_1795204	85.97831	0.3168831
ILMN_2223911	76.46136	0.8857143
ILMN_1685531	72.97192	0.9792208
ILMN_1764554	83.03359	0.4311688
ILMN_2302214	81.95169	0.5025974
ILMN_1783312	80.09802	0.6298701
ILMN_2143210	76.05506	0.9064935
ILMN_1750294	79.44117	0.6779221
ILMN_1708348	684.4763	0
ILMN_1727524	136.165	0.02207792
ILMN_1716909	82.39213	0.4675325
ILMN_2103107	116.8879	0.04935065
ILMN_1673566	87.708	0.2675325
ILMN_1751168	81.97266	0.5025974
ILMN_1660970	85.08783	0.3584416
ILMN_1787386	74.56477	0.9545454
ILMN_2286570	81.58207	0.5350649
ILMN_2413732	80.52322	0.6
ILMN_1873412	91.33924	0.1896104
ILMN_1676452	83.00134	0.4324675
ILMN_2358134	81.61082	0.5324675
ILMN_1683781	79.10094	0.6987013
ILMN_1726247	83.57136	0.4103896
ILMN_1682989	136.8124	0.02207792
ILMN_1739872	78.83942	0.7168831
ILMN_1770152	78.83417	0.7168831
ILMN_1656171	75.25037	0.9402598
ILMN_1796628	84.33624	0.3792208
ILMN_1811765	86.44688	0.3038961
ILMN_1791795	74.61025	0.9545454
ILMN_1787908	80.37292	0.6038961
ILMN_1651717	83.92538	0.3961039
ILMN_1703803	81.51531	0.5402597
ILMN_2092933	83.09026	0.4311688
ILMN_1681886	84.42204	0.3792208
ILMN_1767362	82.9194	0.438961
ILMN_3251322	80.3202	0.6103896
ILMN_2211790	81.30942	0.5493507
ILMN_1672403	77.54668	0.8207792
ILMN_1805543	92.04556	0.1753247
ILMN_1706992	132.0239	0.02597403
ILMN_1684919	83.37632	0.4194805
ILMN_1727084	85.23856	0.3519481
ILMN_1705250	82.91444	0.438961
ILMN_1722621	83.32636	0.4207792
ILMN_1721495	86.19006	0.3077922
ILMN_1798690	78.92565	0.7116883
ILMN_1687035	113.8563	0.04935065
ILMN_1777683	96.7458	0.1246753
ILMN_1762294	111.6042	0.05194805
ILMN_1793040	111.3245	0.05194805
ILMN_3247424	147.3625	0.01688312
ILMN_1763000	214.9734	0.002597403
ILMN_1776777	2210.59	0
ILMN_1706963	78.8509	0.7168831
ILMN_2320964	791.8944	0
ILMN_1697628	100.3395	0.09740259
ILMN_2319326	139.1075	0.02077922
ILMN_1657442	90.56206	0.2064935
ILMN_1679797	302.2813	0
ILMN_1749493	81.84036	0.5142857
ILMN_1657139	190.204	0.005194805
ILMN_3245693	85.32957	0.3467532
ILMN_1806275	103.6442	0.07792208
ILMN_1659599	95.58068	0.1376623
ILMN_1698777	122.0673	0.03896104
ILMN_1663132	145.3604	0.01688312
ILMN_1700349	130.1742	0.02727273
ILMN_1761309	90.72153	0.2038961
ILMN_2120555	85.7789	0.325974
ILMN_1742073	78.33745	0.7545455
ILMN_3241894	102.434	0.08441558
ILMN_1810691	99.85407	0.1038961
ILMN_1676893	197.397	0.003896104
ILMN_2148944	145.8049	0.01688312
ILMN_1708588	82.36681	0.4688312
ILMN_2311674	86.74062	0.3012987
ILMN_1685156	80.81049	0.5753247
ILMN_1655935	306.0647	0
ILMN_1754440	89.3577	0.2285714
ILMN_1654287	98.1917	0.1090909
ILMN_1763344	94.06458	0.1480519
ILMN_1711736	122.8379	0.03636364
ILMN_2356786	157.8172	0.01168831
ILMN_1759252	1782.649	0
ILMN_1678791	86.32376	0.3051948
ILMN_2336146	75.52478	0.9298701
ILMN_2286339	89.66592	0.2220779
ILMN_1694133	74.99303	0.9441559
ILMN_1678501	81.14606	0.5623376
ILMN_1787378	681.9601	0
ILMN_1814526	1034.094	0
ILMN_2311278	477.4342	0
ILMN_1764309	110.508	0.05584415
