PROBE_ID	7677153062_E.VALUE	7677153062_E.Detection Pval
ILMN_2287535	95.19402	0.1324675
ILMN_1750295	103.4576	0.09220779
ILMN_3187680	143.9663	0.02987013
ILMN_3242266	86.68667	0.225974
ILMN_1780630	137.5665	0.03636364
ILMN_1716480	150.3569	0.02597403
ILMN_1715192	91.74883	0.161039
ILMN_2339410	69.9046	0.851948
ILMN_1779984	75.55713	0.525974
ILMN_1667018	90.39062	0.1818182
ILMN_1773243	73.04552	0.6402597
ILMN_3241214	100.9471	0.1
ILMN_3235340	96.2468	0.1298701
ILMN_1761000	83.04028	0.2844156
ILMN_3237774	117.0219	0.05584415
ILMN_2333219	75.33553	0.5389611
ILMN_1780485	115.8122	0.05844156
ILMN_1735471	170.842	0.01298701
ILMN_1699636	322.2173	0
ILMN_2371379	403.2174	0
ILMN_1749014	214.3775	0.006493506
ILMN_1727091	73.98952	0.5805195
ILMN_1771348	134.0137	0.04025974
ILMN_2134039	4359.47	0
ILMN_1750800	185.7465	0.01168831
ILMN_1654861	121.1209	0.05064935
ILMN_2121389	67.31489	0.9441559
ILMN_1715543	76.09366	0.4896104
ILMN_1739594	83.98801	0.2727273
ILMN_2353978	73.52263	0.6051948
ILMN_1785474	142.4969	0.03246753
ILMN_2188959	94.33577	0.138961
ILMN_1716237	136.4091	0.03636364
ILMN_1764321	89.06734	0.1974026
ILMN_2156699	76.03046	0.4961039
ILMN_1784756	93.2648	0.1467533
ILMN_1728883	75.76113	0.5116883
ILMN_1740265	110.3531	0.07402597
ILMN_1788078	71.0333	0.7792208
ILMN_2252621	70.98888	0.7831169
ILMN_2332250	80.78304	0.3324675
ILMN_1719178	78.38013	0.4116883
ILMN_1679600	88.86294	0.2012987
ILMN_2367070	145.3191	0.02857143
ILMN_1658995	203.504	0.006493506
ILMN_1750158	324.8333	0
ILMN_1668839	100.108	0.1025974
ILMN_1765767	143.1313	0.03246753
ILMN_1685703	72.9557	0.6441559
ILMN_1743396	98.16344	0.1142857
ILMN_1743680	69.92223	0.8506494
ILMN_1669633	286.7013	0
ILMN_2344956	753.8412	0
ILMN_2104830	105.0823	0.08831169
ILMN_2078599	94.09498	0.1441558
ILMN_2234343	91.15788	0.1727273
ILMN_1706598	118.6043	0.05324675
ILMN_2306955	118.1452	0.05324675
ILMN_1758323	157.3626	0.01818182
ILMN_1728331	316.5476	0
ILMN_2351906	79.18299	0.3831169
ILMN_1705637	183.4673	0.01168831
ILMN_1784203	181.9758	0.01298701
ILMN_1666690	110.5063	0.07402597
ILMN_1654468	225.1687	0.003896104
ILMN_2320277	103.2501	0.09220779
ILMN_2227011	80.92222	0.3272727
ILMN_1730002	95.83	0.1311688
ILMN_3236756	87.15102	0.2233766
ILMN_1716832	75.19911	0.5467532
ILMN_1684585	1910.653	0
ILMN_2360705	241.8584	0.003896104
ILMN_1654414	101.8944	0.0987013
ILMN_1666096	119.3302	0.05194805
ILMN_2391458	116.7864	0.05584415
ILMN_2285506	109.5232	0.07402597
ILMN_1691714	89.92006	0.1883117
ILMN_1683598	448.6288	0
ILMN_2370882	155.1807	0.01948052
ILMN_2273911	73.17728	0.6337662
ILMN_1807914	71.33861	0.7597402
ILMN_1678517	76.20238	0.4883117
ILMN_1705247	436.5428	0
ILMN_1737418	87.20959	0.2207792
ILMN_2278242	70.64352	0.8090909
ILMN_1730025	81.01915	0.325974
ILMN_2378555	120.405	0.05064935
ILMN_1661434	68.98486	0.8857143
ILMN_1809623	73.53992	0.6038961
ILMN_1657592	76.70737	0.4701299
ILMN_1765912	79.02606	0.3896104
ILMN_1746128	79.22511	0.3805195
ILMN_1685952	78.3231	0.412987
ILMN_1662738	77.21552	0.448052
ILMN_1771084	100.6661	0.1012987
ILMN_1791923	74.84081	0.5519481
ILMN_1801698	73.50727	0.6051948
ILMN_1766966	74.85808	0.5519481
ILMN_2070792	88.24021	0.2077922
ILMN_1752269	120.9547	0.05064935
ILMN_1697510	93.08023	0.1493506
ILMN_2254962	93.35745	0.1467533
ILMN_2336595	316.0291	0
ILMN_1714197	319.7499	0
ILMN_1742859	69.8576	0.8545455
ILMN_1659885	80.451	0.338961
ILMN_2125869	105.9992	0.08701298
ILMN_1671703	382.5307	0
ILMN_2152131	8162.909	0
ILMN_1777296	7761.722	0
ILMN_2038777	8290.805	0
ILMN_3246895	71.63055	0.7428572
ILMN_1658660	68.26678	0.9116883
ILMN_1829919	78.61272	0.4038961
ILMN_2053178	6717.456	0
ILMN_1704961	3086.465	0
ILMN_1795325	69.67233	0.8584415
ILMN_1749297	226.1083	0.003896104
ILMN_2328280	178.2883	0.01298701
ILMN_1657855	205.012	0.006493506
ILMN_1717900	72.11925	0.7025974
ILMN_1796088	79.68516	0.3701299
ILMN_1704078	73.7657	0.5935065
ILMN_2232177	1062.229	0
ILMN_1654422	76.17834	0.4883117
ILMN_1665691	90.72743	0.1792208
ILMN_1725534	236.8855	0.003896104
ILMN_1798254	307.7776	0
ILMN_1792314	236.1223	0.003896104
ILMN_1695821	312.2389	0
ILMN_2388605	2112.933	0
ILMN_1657153	561.2916	0
ILMN_2260392	88.11351	0.2103896
ILMN_2346451	68.25833	0.9116883
