PROBE_ID	7677153059_J.VALUE	7677153059_J.Detection Pval
ILMN_1717900	68.26217	0.8688312
ILMN_1796088	75.86774	0.4415585
ILMN_1704078	69.35193	0.8012987
ILMN_2232177	922.074	0
ILMN_1654422	83.43577	0.2181818
ILMN_1665691	93.84523	0.1077922
ILMN_1725534	298.2223	0
ILMN_1798254	315.0136	0
ILMN_1792314	309.4812	0
ILMN_1695821	298.0682	0
ILMN_2388605	2289.172	0
ILMN_1657153	729.2614	0
ILMN_2260392	81.19436	0.2597403
ILMN_2346451	67.59644	0.8948052
ILMN_1787513	82.9628	0.2246753
ILMN_1680941	72.84211	0.5857143
ILMN_1652594	148.1453	0.02077922
ILMN_1697585	231.1752	0.002597403
ILMN_1689162	90.62795	0.1272727
ILMN_1815392	198.8899	0.005194805
ILMN_3241416	66.25096	0.9363636
ILMN_1760490	257.2604	0.001298701
ILMN_1786544	86.71713	0.1727273
ILMN_1763916	74.61486	0.5064935
ILMN_2243308	145.3098	0.02207792
ILMN_1766723	81.86105	0.2454545
ILMN_1689217	81.01561	0.2662338
ILMN_1670912	79.77974	0.2922078
ILMN_2152711	98.56139	0.07792208
ILMN_1668983	69.49057	0.7935065
ILMN_1824337	72.7828	0.5883117
ILMN_1807493	68.89734	0.8311688
ILMN_3250257	81.31273	0.2584416
ILMN_1683883	91.78863	0.1207792
ILMN_1670193	105.9565	0.05974026
ILMN_2319825	100.5259	0.07012987
ILMN_1694233	198.1495	0.005194805
ILMN_1686432	74.50778	0.5077922
ILMN_1697550	156.2126	0.01558442
ILMN_2158705	101.8409	0.06623377
ILMN_1803686	193.8484	0.005194805
ILMN_1745580	74.01262	0.5324675
ILMN_1745108	74.59004	0.5064935
ILMN_1725043	81.69522	0.2519481
ILMN_2148360	122.3661	0.04285714
ILMN_1718946	280.562	0
ILMN_1711374	75.83064	0.4428571
ILMN_1726266	72.57922	0.6077922
ILMN_1705689	72.07017	0.6337662
ILMN_1785393	70.68169	0.7246753
ILMN_2384544	141.8524	0.02337662
ILMN_1756920	523.4294	0
ILMN_1799728	99.50314	0.07402597
ILMN_1751500	86.27128	0.1831169
ILMN_2121068	431.0211	0
ILMN_1765779	84.5928	0.2
ILMN_2201386	69.61391	0.7896104
ILMN_1682225	70.81746	0.7168831
ILMN_1788481	83.88544	0.212987
ILMN_1713751	764.0778	0
ILMN_1662675	71.02619	0.7090909
ILMN_1737629	71.7018	0.6597403
ILMN_1812112	69.6524	0.7857143
ILMN_3241313	74.32836	0.5194805
ILMN_1675210	67.24021	0.9051948
ILMN_1706302	68.81406	0.8324676
ILMN_2351754	70.56271	0.7311688
ILMN_2060086	80.18791	0.2818182
ILMN_1664236	87.31564	0.1675325
ILMN_1664631	103.6365	0.06363636
ILMN_1802100	76.08667	0.4168831
ILMN_2194158	80.46994	0.2779221
ILMN_2100871	74.89619	0.4909091
ILMN_1806841	113.5182	0.04805195
ILMN_1798045	71.8579	0.648052
ILMN_2293012	74.58296	0.5064935
ILMN_1703383	98.14801	0.08051948
ILMN_1651657	75.39877	0.4636364
ILMN_1671297	103.8333	0.06363636
ILMN_1669486	68.51219	0.8506494
ILMN_1795204	89.59555	0.1350649
ILMN_2223911	70.79126	0.7168831
ILMN_1685531	63.88361	0.9909091
ILMN_1764554	71.12697	0.6987013
ILMN_2302214	81.50797	0.2519481
ILMN_1783312	69.18759	0.8077922
ILMN_2143210	76.97684	0.3792208
ILMN_1750294	67.75228	0.887013
ILMN_1708348	720.7581	0
ILMN_1727524	132.0231	0.03116883
ILMN_1716909	73.53876	0.5597402
ILMN_2103107	112.2147	0.04805195
ILMN_1673566	76.64281	0.387013
ILMN_1751168	75.75687	0.4454545
ILMN_1660970	69.17467	0.8090909
ILMN_1787386	69.98792	0.7727273
ILMN_2286570	73.73972	0.5493507
ILMN_2413732	73.21957	0.5714286
ILMN_1873412	86.0566	0.1857143
ILMN_1676452	70.93424	0.7116883
ILMN_2358134	73.56919	0.5597402
ILMN_1683781	73.13267	0.5727273
ILMN_1726247	72.64153	0.6038961
ILMN_1682989	136.9144	0.02987013
ILMN_1739872	71.5017	0.6753247
ILMN_1770152	70.85905	0.7142857
ILMN_1656171	71.11144	0.7
ILMN_1796628	74.40211	0.512987
ILMN_1811765	69.62099	0.7896104
ILMN_1791795	68.49564	0.8506494
ILMN_1787908	77.60465	0.3506494
ILMN_1651717	82.91334	0.2246753
ILMN_1703803	70.57044	0.7311688
ILMN_2092933	82.61734	0.2298701
ILMN_1681886	69.13448	0.8116883
ILMN_1767362	74.46793	0.5090909
ILMN_3251322	68.6759	0.8415585
ILMN_2211790	71.96239	0.6376624
ILMN_1672403	66.81737	0.9168831
ILMN_1805543	84.95075	0.1961039
ILMN_1706992	118.1408	0.04415584
ILMN_1684919	74.20042	0.5246753
ILMN_1727084	70.49712	0.7363636
ILMN_1705250	69.56887	0.7896104
ILMN_1722621	75.63929	0.451948
ILMN_1721495	75.54981	0.4558442
ILMN_1798690	68.78694	0.8324676
ILMN_1687035	117.5541	0.04415584
ILMN_1777683	81.15823	0.2623377
