PROBE_ID	7677153059_G.VALUE	7677153059_G.Detection Pval
ILMN_1662738	72.65193	0.6610389
ILMN_1771084	85.93421	0.2675325
ILMN_1791923	72.604	0.6636364
ILMN_1801698	68.34381	0.8896104
ILMN_1766966	76.31064	0.5051948
ILMN_2070792	89.49529	0.2194805
ILMN_1752269	128.2295	0.05324675
ILMN_1697510	94.42337	0.1805195
ILMN_2254962	92.17882	0.1974026
ILMN_2336595	472.268	0
ILMN_1714197	579.6818	0
ILMN_1742859	72.04458	0.6896104
ILMN_1659885	75.32286	0.5402597
ILMN_2125869	111.0332	0.08961039
ILMN_1671703	394.6682	0
ILMN_2152131	9091.788	0
ILMN_1777296	8297.329	0
ILMN_2038777	8841.82	0
ILMN_3246895	74.24249	0.5857143
ILMN_1658660	75.68254	0.525974
ILMN_1829919	75.87717	0.5194805
ILMN_2053178	7277.822	0
ILMN_1704961	2855.754	0
ILMN_1795325	70.68775	0.7792208
ILMN_1749297	193.0937	0.01428571
ILMN_2328280	135.5888	0.04415584
ILMN_1657855	205.941	0.01038961
ILMN_1717900	70.33988	0.7974026
ILMN_1796088	77.88794	0.4532467
ILMN_1704078	74.13935	0.5883117
ILMN_2232177	1093.592	0
ILMN_1654422	76.76372	0.487013
ILMN_1665691	103.9159	0.1142857
ILMN_1725534	251.5264	0.005194805
ILMN_1798254	339.2361	0
ILMN_1792314	212.3107	0.009090909
ILMN_1695821	309.6101	0
ILMN_2388605	2682.01	0
ILMN_1657153	516.542	0
ILMN_2260392	80.71442	0.3636364
ILMN_2346451	74.94823	0.561039
ILMN_1787513	92.20037	0.1974026
ILMN_1680941	89.24223	0.2207792
ILMN_1652594	125.4648	0.05454545
ILMN_1697585	175.3651	0.01688312
ILMN_1689162	90.75723	0.2090909
ILMN_1815392	173.222	0.01688312
ILMN_3241416	62.72245	0.9974026
ILMN_1760490	189.8004	0.01558442
ILMN_1786544	85.35125	0.2701299
ILMN_1763916	111.0116	0.08961039
ILMN_2243308	182.3435	0.01558442
ILMN_1766723	82.08974	0.3337662
ILMN_1689217	83.81428	0.2935065
ILMN_1670912	77.66988	0.4584416
ILMN_2152711	96.20916	0.1688312
ILMN_1668983	75.95695	0.5194805
ILMN_1824337	79.81112	0.3857143
ILMN_1807493	74.9835	0.5571429
ILMN_3250257	89.67442	0.2168831
ILMN_1683883	99.52679	0.1415584
ILMN_1670193	124.1884	0.05584415
ILMN_2319825	99.72398	0.1415584
ILMN_1694233	164.8177	0.02077922
