PROBE_ID	7677153059_A.VALUE	7677153059_A.Detection Pval
ILMN_1697550	184.2447	0.01038961
ILMN_2158705	119.4891	0.08571429
ILMN_1803686	210.8051	0.005194805
ILMN_1745580	95.3967	0.761039
ILMN_1745108	95.84653	0.7454545
ILMN_1725043	110.4529	0.1753247
ILMN_2148360	121.8856	0.07792208
ILMN_1718946	219.9153	0.003896104
ILMN_1711374	101.6413	0.4038961
ILMN_1726266	101.6607	0.4012987
ILMN_1705689	97.82183	0.6077922
ILMN_1785393	97.31988	0.6402597
ILMN_2384544	142.6619	0.04285714
ILMN_1756920	309.8172	0
ILMN_1799728	117.1762	0.1
ILMN_1751500	116.1402	0.1012987
ILMN_2121068	371.9843	0
ILMN_1765779	117.5822	0.0987013
ILMN_2201386	100.2656	0.4753247
ILMN_1682225	89.98174	0.974026
ILMN_1788481	108.8081	0.1987013
ILMN_1713751	575.1874	0
ILMN_1662675	96.84892	0.6753247
ILMN_1737629	90.33305	0.9675325
ILMN_1812112	92.58234	0.9142857
ILMN_3241313	98.58184	0.5818182
ILMN_1675210	93.14502	0.8896104
ILMN_1706302	98.74316	0.5766234
ILMN_2351754	100.841	0.451948
ILMN_2060086	91.80794	0.9363636
ILMN_1664236	96.7085	0.6831169
ILMN_1664631	116.8306	0.1
ILMN_1802100	106.8842	0.2402597
ILMN_2194158	101.1134	0.4402598
ILMN_2100871	101.4378	0.4207792
ILMN_1806841	124.3789	0.07012987
ILMN_1798045	100.6709	0.4584416
ILMN_2293012	86.3519	0.9948052
ILMN_1703383	111.5179	0.1493506
ILMN_1651657	102.8596	0.3597403
ILMN_1671297	128.2809	0.05844156
ILMN_1669486	95.50175	0.7584416
ILMN_1795204	112.2387	0.1428571
ILMN_2223911	98.36789	0.5896104
ILMN_1685531	97.24976	0.6441559
ILMN_1764554	90.74268	0.9636363
ILMN_2302214	100.7934	0.4532467
ILMN_1783312	94.14163	0.8428571
ILMN_2143210	97.71083	0.612987
