PROBE_ID	7677153062_K.VALUE	7677153062_K.Detection Pval
ILMN_1724699	98.9996	0.3428572
ILMN_1775579	138.6581	0.03636364
ILMN_1660890	96.09362	0.4792208
ILMN_1778104	142.2161	0.02987013
ILMN_2053679	208.4172	0.003896104
ILMN_1795104	211.0209	0.003896104
ILMN_1740920	100.5888	0.2974026
ILMN_2263466	121.6534	0.06753246
ILMN_1806408	988.6743	0
ILMN_2352009	192.0836	0.007792208
ILMN_1693148	95.17036	0.5298702
ILMN_1808395	425.241	0
ILMN_3236270	229.2111	0.002597403
ILMN_1743847	97.89442	0.3935065
ILMN_1800008	175.4611	0.01038961
ILMN_2133799	97.56051	0.4025974
ILMN_1708672	143.8129	0.02987013
ILMN_1665945	190.6823	0.007792208
ILMN_1676288	99.56687	0.3285714
ILMN_1693250	99.45821	0.3298701
ILMN_2295980	111.1508	0.1324675
ILMN_2410362	106.9969	0.1714286
ILMN_1684271	106.5799	0.1779221
ILMN_1726388	92.54044	0.7038961
ILMN_2106002	111.9531	0.1246753
ILMN_1779685	105.6255	0.1883117
ILMN_1665932	107.6515	0.1662338
ILMN_1769694	94.91029	0.5428572
ILMN_1727251	111.3356	0.1285714
ILMN_1734479	110.499	0.1415584
ILMN_2368728	131.0263	0.04935065
ILMN_2394897	95.63143	0.4961039
ILMN_2394902	105.5151	0.1948052
ILMN_2287535	107.3466	0.1662338
ILMN_1750295	118.6397	0.08701298
ILMN_3187680	143.1252	0.02987013
ILMN_3242266	111.2943	0.1285714
ILMN_1780630	144.5044	0.02987013
ILMN_1716480	166.4183	0.01688312
ILMN_1715192	103.7375	0.2285714
ILMN_2339410	91.48443	0.7805195
ILMN_1779984	94.34029	0.5831169
ILMN_1667018	115.3245	0.1012987
ILMN_1773243	92.74612	0.6909091
ILMN_3241214	121.781	0.06753246
ILMN_3235340	109.2726	0.1545455
ILMN_1761000	91.56895	0.774026
ILMN_3237774	127.6444	0.05844156
ILMN_2333219	92.87189	0.6753247
ILMN_1780485	125.2942	0.06103896
ILMN_1735471	175.9251	0.009090909
ILMN_1699636	296.0607	0
ILMN_2371379	353.9374	0
ILMN_1749014	193.8257	0.005194805
ILMN_1727091	102.1307	0.2662338
ILMN_1771348	118.2527	0.08831169
ILMN_2134039	4601.205	0
ILMN_1750800	182.2333	0.009090909
ILMN_1654861	149.7034	0.02727273
ILMN_2121389	92.87769	0.6753247
ILMN_1715543	99.95629	0.3142857
ILMN_1739594	102.4745	0.2519481
ILMN_2353978	89.67053	0.8896104
ILMN_1785474	147.3886	0.02727273
ILMN_2188959	99.10723	0.3402597
ILMN_1716237	140.4902	0.03246753
ILMN_1764321	103.7742	0.225974
ILMN_2156699	97.39431	0.4077922
ILMN_1784756	109.7928	0.1480519
ILMN_1728883	92.34954	0.7168831
ILMN_1740265	132.3408	0.04935065
ILMN_1788078	97.53978	0.4025974
ILMN_2252621	95.49986	0.5077922
ILMN_2332250	103.2812	0.2363636
ILMN_1719178	96.4679	0.4545455
ILMN_1679600	108.0577	0.1649351
ILMN_2367070	139.1851	0.03636364
ILMN_1658995	152.2186	0.02597403
ILMN_1750158	229.1658	0.002597403
ILMN_1668839	112.768	0.1207792
ILMN_1765767	124.3039	0.06363636
ILMN_1685703	89.26714	0.9103896
ILMN_1743396	121.7352	0.06753246
ILMN_1743680	87.54259	0.9558442
ILMN_1669633	205.1712	0.005194805
ILMN_2344956	381.1057	0
ILMN_2104830	146.3651	0.02727273
ILMN_2078599	119.6436	0.08311688
ILMN_2234343	102.7126	0.2454545
ILMN_1706598	119.5087	0.08441558
ILMN_2306955	127.8427	0.05714286
ILMN_1758323	153.4847	0.02597403
ILMN_1728331	255.2919	0
ILMN_2351906	91.58986	0.7727273
ILMN_1705637	171.0912	0.01428571
ILMN_1784203	191.2723	0.007792208
ILMN_1666690	111.1839	0.1311688
ILMN_1654468	187.8789	0.007792208
ILMN_2320277	113.1627	0.1194805
ILMN_2227011	100.2208	0.3064935
ILMN_1730002	110.5545	0.138961
ILMN_3236756	110.5836	0.1376623
ILMN_1716832	91.75948	0.7597402
ILMN_1684585	1204.27	0
ILMN_2360705	185.795	0.007792208
ILMN_1654414	105.6955	0.1883117
ILMN_1666096	115.1401	0.1038961
ILMN_2391458	119.6772	0.08311688
ILMN_2285506	100.2026	0.3064935
ILMN_1691714	101.1755	0.2883117
ILMN_1683598	355.1306	0
ILMN_2370882	153.5001	0.02597403
ILMN_2273911	94.05653	0.6038961
ILMN_1807914	91.78391	0.7597402
ILMN_1678517	97.97183	0.3883117
ILMN_1705247	343.5706	0
ILMN_1737418	108.54	0.1597403
ILMN_2278242	97.55126	0.4025974
ILMN_1730025	100.0805	0.312987
ILMN_2378555	138.5483	0.03636364
ILMN_1661434	90.79718	0.8220779
ILMN_1809623	95.88599	0.4896104
ILMN_1657592	94.37333	0.5831169
ILMN_1765912	93.10174	0.6649351
ILMN_1746128	97.73209	0.3974026
ILMN_1685952	94.07018	0.6025974
ILMN_1662738	95.33178	0.5155844
ILMN_1771084	97.97364	0.387013
ILMN_1791923	95.05968	0.5337662
ILMN_1801698	104.5328	0.212987
ILMN_1766966	91.94258	0.7480519
ILMN_2070792	107.1245	0.1701299
ILMN_1752269	176.7285	0.009090909
ILMN_1697510	109.9208	0.1467533
ILMN_2254962	111.2057	0.1298701
ILMN_2336595	309.531	0
ILMN_1714197	369.6628	0
ILMN_1742859	95.55671	0.5012987
ILMN_1659885	97.98711	0.387013
ILMN_2125869	123.0849	0.06493507
ILMN_1671703	310.8536	0
ILMN_2152131	11638.96	0
ILMN_1777296	7793.963	0
ILMN_2038777	10601.97	0
ILMN_3246895	86.07905	0.9766234
ILMN_1658660	95.69818	0.4935065
ILMN_1829919	98.22035	0.3766234
ILMN_2053178	6470.708	0
ILMN_1704961	2186.543	0
ILMN_1795325	90.90014	0.8142857
ILMN_1749297	192.1369	0.007792208
ILMN_2328280	157.4913	0.02207792
ILMN_1657855	206.2635	0.003896104
ILMN_1717900	94.72756	0.5571429
ILMN_1796088	95.34817	0.5142857
ILMN_1704078	89.2886	0.9077922
ILMN_2232177	768.5826	0
ILMN_1654422	94.68797	0.5597402
ILMN_1665691	102.3801	0.2532468
ILMN_1725534	266.4633	0
ILMN_1798254	236.3059	0.002597403
ILMN_1792314	259.3177	0
ILMN_1695821	286.8958	0
ILMN_2388605	1610.345	0
ILMN_1657153	440.5049	0
ILMN_2260392	103.0593	0.238961
ILMN_2346451	95.41608	0.5116883
ILMN_1787513	106.4343	0.1805195
ILMN_1680941	103.9625	0.2246753
ILMN_1652594	130.1036	0.05064935
ILMN_1697585	171.8372	0.01168831
ILMN_1689162	104.6875	0.2103896
ILMN_1815392	163.532	0.01818182
ILMN_3241416	91.49606	0.7805195
ILMN_1760490	193.3119	0.005194805
ILMN_1786544	105.2075	0.2038961
ILMN_1763916	104.3085	0.2155844
ILMN_2243308	153.207	0.02597403
ILMN_1766723	99.14349	0.338961
ILMN_1689217	94.39441	0.5831169
ILMN_1670912	95.10961	0.5298702
ILMN_2152711	103.5946	0.2311688
ILMN_1668983	94.85249	0.548052
ILMN_1824337	92.74548	0.6909091
ILMN_1807493	93.91067	0.6116883
ILMN_3250257	94.23721	0.5857143
ILMN_1683883	109.5806	0.1493506
ILMN_1670193	126.5473	0.05844156
ILMN_2319825	105.564	0.1922078
ILMN_1694233	170.5613	0.01428571
ILMN_1686432	99.93138	0.3142857
ILMN_1697550	173.3106	0.01168831
ILMN_2158705	122.6064	0.06623377
ILMN_1803686	204.0051	0.005194805
ILMN_1745580	92.43691	0.7103896
ILMN_1745108	93.86326	0.6142857
ILMN_1725043	99.84827	0.3168831
ILMN_2148360	117.2202	0.09350649
ILMN_1718946	195.5072	0.005194805
ILMN_1711374	93.48726	0.638961
ILMN_1726266	98.16843	0.3831169
ILMN_1705689	87.47423	0.9558442
ILMN_1785393	99.71987	0.3233766
ILMN_2384544	134.8663	0.04415584
ILMN_1756920	414.6547	0
ILMN_1799728	109.0858	0.1571429
ILMN_1751500	102.784	0.2454545
ILMN_2121068	297.2042	0
ILMN_1765779	108.8348	0.1584416
ILMN_2201386	91.41434	0.7857143
ILMN_1682225	86.133	0.9766234
ILMN_1788481	112.557	0.1233766
ILMN_1713751	581.7463	0
ILMN_1662675	94.00567	0.6064935
ILMN_1737629	93.83237	0.6168831
ILMN_1812112	94.53271	0.5701299
ILMN_3241313	97.38494	0.4077922
ILMN_1675210	88.86279	0.9220779
ILMN_1706302	92.099	0.7415584
