PROBE_ID	7677153062_F.VALUE	7677153062_F.Detection Pval
ILMN_2394902	81.23222	0.3298701
ILMN_2287535	88.0441	0.1857143
ILMN_1750295	96.61026	0.1103896
ILMN_3187680	178.1565	0.01168831
ILMN_3242266	84.19685	0.2584416
ILMN_1780630	116.2254	0.04545455
ILMN_1716480	147.2801	0.02207792
ILMN_1715192	80.91148	0.338961
ILMN_2339410	75.9113	0.6051948
ILMN_1779984	76.95978	0.5272727
ILMN_1667018	94.36525	0.1246753
ILMN_1773243	72.44864	0.8441558
ILMN_3241214	98.13321	0.0987013
ILMN_3235340	104.0455	0.07662338
ILMN_1761000	81.39648	0.3233766
ILMN_3237774	124.3108	0.03896104
ILMN_2333219	69.14294	0.9649351
ILMN_1780485	103.2762	0.08051948
ILMN_1735471	162.7171	0.01428571
ILMN_1699636	372.0525	0
ILMN_2371379	410.9694	0
ILMN_1749014	237.3197	0.001298701
ILMN_1727091	77.71156	0.4831169
ILMN_1771348	125.7147	0.03766234
ILMN_2134039	4380.396	0
ILMN_1750800	180.4109	0.01168831
ILMN_1654861	138.9641	0.02727273
ILMN_2121389	73.84874	0.7415584
ILMN_1715543	81.15804	0.3324675
ILMN_1739594	87.68426	0.1935065
ILMN_2353978	83.45325	0.2727273
ILMN_1785474	135.0053	0.02987013
ILMN_2188959	88.77443	0.1753247
ILMN_1716237	119.8534	0.04285714
ILMN_1764321	89.02525	0.174026
ILMN_2156699	74.53012	0.6883117
ILMN_1784756	80.98022	0.3337662
ILMN_1728883	74.64918	0.6753247
ILMN_1740265	119.5796	0.04285714
ILMN_1788078	77.8415	0.4805195
ILMN_2252621	80.02133	0.3844156
ILMN_2332250	79.09845	0.4220779
ILMN_1719178	74.58697	0.6818182
ILMN_1679600	92.72711	0.1402597
ILMN_2367070	150.3061	0.02077922
ILMN_1658995	176.6509	0.01168831
ILMN_1750158	279.7013	0
ILMN_1668839	91.80804	0.151948
ILMN_1765767	116.1305	0.04545455
ILMN_1685703	71.30075	0.9038961
ILMN_1743396	98.206	0.09740259
ILMN_1743680	68.97911	0.9688312
ILMN_1669633	262.7476	0
ILMN_2344956	674.3065	0
ILMN_2104830	116.2161	0.04545455
ILMN_2078599	103.9257	0.07922078
ILMN_2234343	96.50207	0.1116883
ILMN_1706598	123.678	0.03896104
ILMN_2306955	133.7229	0.03116883
ILMN_1758323	157.512	0.01428571
ILMN_1728331	272.149	0
ILMN_2351906	74.21053	0.7155844
ILMN_1705637	163.4663	0.01428571
ILMN_1784203	189.9137	0.009090909
ILMN_1666690	105.9374	0.07012987
ILMN_1654468	190.5188	0.007792208
ILMN_2320277	93.11006	0.1311688
ILMN_2227011	82.98577	0.2818182
ILMN_1730002	91.33041	0.1545455
ILMN_3236756	91.55482	0.1532468
ILMN_1716832	80.57236	0.3623376
ILMN_1684585	1791.15	0
ILMN_2360705	228.431	0.001298701
ILMN_1654414	96.11875	0.1155844
ILMN_1666096	114.0917	0.04545455
ILMN_2391458	115.627	0.04545455
ILMN_2285506	90.08241	0.1662338
ILMN_1691714	85.16315	0.2415584
ILMN_1683598	443.9781	0
ILMN_2370882	154.3019	0.01688312
ILMN_2273911	71.98864	0.874026
ILMN_1807914	74.532	0.6883117
ILMN_1678517	86.32503	0.212987
ILMN_1705247	386.7842	0
ILMN_1737418	87.94154	0.187013
ILMN_2278242	81.12565	0.3324675
ILMN_1730025	78.24506	0.4649351
ILMN_2378555	114.1988	0.04545455
ILMN_1661434	69.03091	0.9675325
ILMN_1809623	77.29919	0.5064935
ILMN_1657592	75.5146	0.6233766
ILMN_1765912	80.42575	0.3701299
ILMN_1746128	74.3856	0.7
ILMN_1685952	84.65927	0.2519481
ILMN_1662738	79.65259	0.4051948
ILMN_1771084	95.34781	0.1194805
ILMN_1791923	75.74709	0.6142857
ILMN_1801698	69.67578	0.9545454
ILMN_1766966	76.88928	0.5311688
ILMN_2070792	85.39391	0.2376623
ILMN_1752269	149.0928	0.02077922
ILMN_1697510	86.25731	0.2181818
ILMN_2254962	84.99352	0.2428571
ILMN_2336595	343.1147	0
ILMN_1714197	386.1212	0
ILMN_1742859	75.79449	0.6090909
ILMN_1659885	82.43093	0.3012987
ILMN_2125869	107.1131	0.06623377
ILMN_1671703	333.336	0
ILMN_2152131	7711.176	0
ILMN_1777296	6997.232	0
ILMN_2038777	9045.609	0
ILMN_3246895	73.4586	0.7714286
ILMN_1658660	75.35913	0.6376624
ILMN_1829919	73.48875	0.7688312
ILMN_2053178	7613.873	0
ILMN_1704961	2520.688	0
ILMN_1795325	70.84369	0.9181818
ILMN_1749297	235.7997	0.001298701
ILMN_2328280	182.6186	0.01168831
ILMN_1657855	184.5261	0.01038961
ILMN_1717900	74.88473	0.6688312
ILMN_1796088	80.05444	0.3831169
ILMN_1704078	78.94495	0.4311688
ILMN_2232177	1027.74	0
ILMN_1654422	76.47449	0.561039
ILMN_1665691	93.33044	0.1285714
ILMN_1725534	256.8392	0
ILMN_1798254	269.5343	0
ILMN_1792314	231.2441	0.001298701
ILMN_1695821	292.1469	0
ILMN_2388605	2137.698	0
ILMN_1657153	579.6437	0
ILMN_2260392	77.30777	0.5064935
ILMN_2346451	75.64265	0.6181818
ILMN_1787513	80.84225	0.3415585
ILMN_1680941	84.49235	0.2545455
ILMN_1652594	125.1752	0.03896104
ILMN_1697585	194.2165	0.006493506
ILMN_1689162	93.56276	0.1285714
ILMN_1815392	180.7995	0.01168831
ILMN_3241416	72.44986	0.8441558
ILMN_1760490	253.1243	0
ILMN_1786544	87.00368	0.2012987
ILMN_1763916	89.09199	0.174026
ILMN_2243308	148.4322	0.02077922
ILMN_1766723	83.80035	0.2688312
ILMN_1689217	81.10108	0.3324675
ILMN_1670912	81.35552	0.3246753
ILMN_2152711	108.1325	0.06103896
ILMN_1668983	78.84027	0.4350649
ILMN_1824337	80.50009	0.3662338
ILMN_1807493	68.90514	0.9701298
ILMN_3250257	80.55773	0.3623376
ILMN_1683883	91.0607	0.1571429
ILMN_1670193	102.2748	0.08181818
ILMN_2319825	99.99401	0.08961039
ILMN_1694233	193.5015	0.006493506
ILMN_1686432	77.72833	0.4831169
ILMN_1697550	155.6887	0.01688312
ILMN_2158705	119.6042	0.04285714
ILMN_1803686	176.9476	0.01168831
ILMN_1745580	69.31049	0.9649351
ILMN_1745108	75.74322	0.6142857
ILMN_1725043	92.44759	0.1441558
ILMN_2148360	112.9729	0.04935065
ILMN_1718946	278.201	0
ILMN_1711374	75.61941	0.6194805
ILMN_1726266	78.73926	0.4402598
ILMN_1705689	79.86907	0.3961039
ILMN_1785393	78.71926	0.4415585
ILMN_2384544	121.6429	0.04155844
ILMN_1756920	334.0226	0
ILMN_1799728	103.1526	0.08051948
ILMN_1751500	85.5635	0.2311688
ILMN_2121068	403.8263	0
ILMN_1765779	103.2895	0.08051948
ILMN_2201386	71.87281	0.8779221
ILMN_1682225	74.21178	0.7155844
ILMN_1788481	95.32391	0.1194805
ILMN_1713751	795.6285	0
ILMN_1662675	79.39967	0.4168831
ILMN_1737629	75.45946	0.6272727
ILMN_1812112	77.04385	0.5181818
ILMN_3241313	77.90413	0.4779221
ILMN_1675210	72.06687	0.864935
ILMN_1706302	68.92044	0.9701298
ILMN_2351754	72.03185	0.8688312
ILMN_2060086	85.46267	0.2324675
ILMN_1664236	83.4699	0.2727273
ILMN_1664631	111.8574	0.05064935
ILMN_1802100	85.11912	0.2415584
ILMN_2194158	90.13197	0.1636364
ILMN_2100871	77.73837	0.4818182
ILMN_1806841	103.75	0.07922078
ILMN_1798045	75.24017	0.6558442
ILMN_2293012	69.09367	0.9649351
ILMN_1703383	93.89999	0.1272727
ILMN_1651657	80.30153	0.3753247
ILMN_1671297	111.5327	0.05194805
ILMN_1669486	71.04716	0.9142857
ILMN_1795204	85.09086	0.2415584
ILMN_2223911	77.20935	0.5142857
ILMN_1685531	70.1143	0.9376624
ILMN_1764554	73.47398	0.7688312
ILMN_2302214	82.86416	0.2831169
ILMN_1783312	75.43068	0.6298701
ILMN_2143210	72.01574	0.8714285
ILMN_1750294	72.9431	0.812987
ILMN_1708348	718.3743	0
ILMN_1727524	143.1929	0.02467532
ILMN_1716909	73.85601	0.7415584
ILMN_2103107	113.9906	0.04545455
ILMN_1673566	83.79925	0.2688312
ILMN_1751168	72.35405	0.8506494
ILMN_1660970	78.4101	0.4532467
ILMN_1787386	77.92791	0.4779221
ILMN_2286570	78.29705	0.4610389
ILMN_2413732	81.07684	0.3324675
ILMN_1873412	83.00214	0.2818182
ILMN_1676452	80.67476	0.3558442
ILMN_2358134	75.33134	0.6402597
ILMN_1683781	76.62289	0.5467532
ILMN_1726247	73.05154	0.8051948
ILMN_1682989	143.4363	0.02467532
ILMN_1739872	81.08031	0.3324675
ILMN_1770152	71.96863	0.8753247
ILMN_1656171	74.9566	0.6675324
ILMN_1796628	80.42197	0.3701299
ILMN_1811765	78.88295	0.4324675
ILMN_1791795	73.21291	0.7883117
ILMN_1787908	74.26888	0.7103896
ILMN_1651717	79.1264	0.4207792
ILMN_1703803	73.12659	0.8025974
ILMN_2092933	80.76605	0.3467532
ILMN_1681886	78.00111	0.4766234
ILMN_1767362	74.07114	0.7207792
ILMN_3251322	78.62403	0.4506494
ILMN_2211790	75.88021	0.6051948
ILMN_1672403	75.91099	0.6051948
ILMN_1805543	86.92626	0.2025974
ILMN_1706992	130.8221	0.03246753
ILMN_1684919	76.37726	0.5714286
ILMN_1727084	84.08523	0.2636364
ILMN_1705250	77.05363	0.5181818
ILMN_1722621	83.43689	0.2727273
ILMN_1721495	82.71709	0.2909091
ILMN_1798690	82.84523	0.2844156
ILMN_1687035	114.142	0.04545455
ILMN_1777683	89.71572	0.1688312
ILMN_1762294	106.7539	0.06753246
ILMN_1793040	117.2869	0.04415584
ILMN_3247424	136.3785	0.02857143
ILMN_1763000	179.6736	0.01168831
ILMN_1776777	2348.694	0
ILMN_1706963	80.59042	0.3623376
ILMN_2320964	617.5873	0
ILMN_1697628	102.1678	0.08181818
ILMN_2319326	151.1342	0.01948052
ILMN_1657442	94.83196	0.1233766
ILMN_1679797	440.0102	0
ILMN_1749493	74.46975	0.6922078
ILMN_1657139	206.0313	0.003896104
ILMN_3245693	75.11021	0.6610389
ILMN_1806275	101.9859	0.08311688
