PROBE_ID	7677153059_I.VALUE	7677153059_I.Detection Pval
ILMN_1654861	138.7102	0.03116883
ILMN_2121389	72.82333	0.7467533
ILMN_1715543	79.91845	0.3987013
ILMN_1739594	89.20104	0.2064935
ILMN_2353978	72.82626	0.7467533
ILMN_1785474	142.2402	0.02987013
ILMN_2188959	91.57987	0.187013
ILMN_1716237	129.6086	0.04155844
ILMN_1764321	80.99249	0.3662338
ILMN_2156699	72.88723	0.7415584
ILMN_1784756	97.90148	0.1350649
ILMN_1728883	74.96822	0.6064935
ILMN_1740265	124.7298	0.04545455
ILMN_1788078	68.94894	0.9558442
ILMN_2252621	76.66823	0.5116883
ILMN_2332250	88.18433	0.2181818
ILMN_1719178	81.21602	0.3623376
ILMN_1679600	93.75048	0.1675325
ILMN_2367070	143.3207	0.02987013
ILMN_1658995	173.0272	0.01298701
ILMN_1750158	342.0578	0
ILMN_1668839	87.84068	0.2220779
ILMN_1765767	126.0301	0.04285714
ILMN_1685703	74.35839	0.6415585
ILMN_1743396	124.0621	0.04545455
ILMN_1743680	70.11565	0.8974026
ILMN_1669633	300.6653	0
ILMN_2344956	672.2941	0
ILMN_2104830	122.8417	0.04805195
ILMN_2078599	108.679	0.07532468
ILMN_2234343	90.47287	0.1987013
ILMN_1706598	113.1574	0.06103896
ILMN_2306955	112.3144	0.06363636
ILMN_1758323	172.4781	0.01428571
ILMN_1728331	275.0905	0
ILMN_2351906	79.02831	0.4207792
ILMN_1705637	164.7358	0.01818182
ILMN_1784203	156.3403	0.02077922
ILMN_1666690	103.0873	0.0961039
ILMN_1654468	184.8719	0.009090909
ILMN_2320277	107.6748	0.08311688
ILMN_2227011	83.9029	0.2896104
ILMN_1730002	103.5922	0.09350649
ILMN_3236756	95.91209	0.1493506
ILMN_1716832	79.31934	0.4155844
ILMN_1684585	1585.593	0
ILMN_2360705	232.1658	0.003896104
ILMN_1654414	104.2521	0.09220779
ILMN_1666096	104.5001	0.09090909
ILMN_2391458	112.716	0.06103896
ILMN_2285506	97.43951	0.1363636
ILMN_1691714	86.23253	0.2467532
ILMN_1683598	511.1709	0
ILMN_2370882	140.5182	0.02987013
ILMN_2273911	78.62495	0.4376623
ILMN_1807914	70.61681	0.8727273
ILMN_1678517	78.56805	0.4402598
ILMN_1705247	347.2036	0
ILMN_1737418	97.33414	0.1363636
ILMN_2278242	70.99257	0.8506494
ILMN_1730025	85.20657	0.2649351
ILMN_2378555	128.2907	0.04155844
ILMN_1661434	70.55518	0.8779221
ILMN_1809623	70.54367	0.8779221
ILMN_1657592	73.40095	0.7
ILMN_1765912	83.15939	0.3077922
ILMN_1746128	76.07985	0.548052
ILMN_1685952	76.4385	0.5298702
ILMN_1662738	77.87685	0.4636364
ILMN_1771084	91.37539	0.1883117
ILMN_1791923	78.04321	0.4545455
ILMN_1801698	73.61343	0.6909091
ILMN_1766966	76.15311	0.5454546
ILMN_2070792	94.71612	0.161039
ILMN_1752269	147.0444	0.02857143
ILMN_1697510	95.72411	0.151948
ILMN_2254962	99.45792	0.1181818
ILMN_2336595	400.9894	0
ILMN_1714197	442.7266	0
ILMN_1742859	69.80666	0.9155844
ILMN_1659885	82.53026	0.3220779
ILMN_2125869	106.456	0.08571429
ILMN_1671703	318.5643	0
ILMN_2152131	8921.399	0
ILMN_1777296	8292.861	0
ILMN_2038777	9051.063	0
ILMN_3246895	67.59475	0.9805195
ILMN_1658660	78.31771	0.4454545
ILMN_1829919	72.70666	0.7506493
ILMN_2053178	7133.9	0
ILMN_1704961	3216.899	0
ILMN_1795325	74.06246	0.6649351
ILMN_1749297	214.5224	0.005194805
ILMN_2328280	161.6028	0.01818182
ILMN_1657855	171.9503	0.01428571
ILMN_1717900	77.69368	0.4649351
ILMN_1796088	78.41264	0.4428571
ILMN_1704078	78.95519	0.4246753
ILMN_2232177	1046.089	0
ILMN_1654422	76.08503	0.548052
ILMN_1665691	103.2079	0.0961039
ILMN_1725534	258.4507	0
ILMN_1798254	294.5322	0
ILMN_1792314	275.8695	0
ILMN_1695821	357.1937	0
ILMN_2388605	2293.917	0
ILMN_1657153	477.6376	0
ILMN_2260392	80.03125	0.3948052
ILMN_2346451	73.55672	0.6935065
ILMN_1787513	86.325	0.2467532
ILMN_1680941	82.64192	0.3207792
ILMN_1652594	117.1614	0.05064935
ILMN_1697585	210.2661	0.005194805
ILMN_1689162	98.8823	0.1233766
ILMN_1815392	182.5851	0.009090909
ILMN_3241416	67.39817	0.9805195
ILMN_1760490	208.3573	0.005194805
ILMN_1786544	92.5277	0.1779221
ILMN_1763916	97.96014	0.1350649
ILMN_2243308	195.2844	0.007792208
ILMN_1766723	80.7594	0.3727273
ILMN_1689217	83.75562	0.2922078
ILMN_1670912	76.34808	0.5350649
ILMN_2152711	102.6459	0.0987013
ILMN_1668983	82.21435	0.3337662
ILMN_1824337	77.48703	0.4753247
ILMN_1807493	73.00342	0.7272727
ILMN_3250257	78.09517	0.4532467
ILMN_1683883	88.45187	0.2168831
ILMN_1670193	116.5943	0.05194805
ILMN_2319825	98.2281	0.1324675
ILMN_1694233	200.5896	0.006493506
ILMN_1686432	75.56846	0.5727273
ILMN_1697550	172.2718	0.01428571
ILMN_2158705	113.8159	0.05844156
ILMN_1803686	196.1861	0.007792208
ILMN_1745580	70.53995	0.8779221
ILMN_1745108	73.4959	0.6948052
ILMN_1725043	89.89816	0.1987013
ILMN_2148360	113.1159	0.06103896
ILMN_1718946	299.462	0
ILMN_1711374	85.03944	0.2649351
ILMN_1726266	69.39194	0.9337662
ILMN_1705689	81.88769	0.3415585
ILMN_1785393	75.66469	0.5688311
ILMN_2384544	140.3273	0.02987013
ILMN_1756920	523.2335	0
ILMN_1799728	105.5681	0.08961039
ILMN_1751500	89.18202	0.2064935
ILMN_2121068	391.5263	0
ILMN_1765779	86.06022	0.2506494
ILMN_2201386	71.68088	0.8090909
ILMN_1682225	70.4907	0.8792208
ILMN_1788481	90.61474	0.1961039
ILMN_1713751	844.3375	0
ILMN_1662675	76.9506	0.4935065
ILMN_1737629	77.89327	0.4623377
ILMN_1812112	77.83966	0.4636364
ILMN_3241313	80.40003	0.3844156
ILMN_1675210	70.95203	0.851948
ILMN_1706302	71.09937	0.8467532
ILMN_2351754	72.8461	0.7441558
ILMN_2060086	75.82461	0.5649351
ILMN_1664236	87.2587	0.2350649
ILMN_1664631	100.4322	0.1155844
ILMN_1802100	78.93206	0.4246753
ILMN_2194158	80.98396	0.3662338
ILMN_2100871	75.23977	0.5961039
ILMN_1806841	111.1582	0.06623377
ILMN_1798045	73.26865	0.7077922
ILMN_2293012	71.23048	0.8441558
ILMN_1703383	110.4861	0.06753246
ILMN_1651657	89.06282	0.2064935
ILMN_1671297	113.9623	0.05714286
ILMN_1669486	64.30093	1
ILMN_1795204	87.16988	0.2350649
ILMN_2223911	75.27765	0.5844156
ILMN_1685531	66.85777	0.987013
ILMN_1764554	71.20906	0.8467532
ILMN_2302214	78.76667	0.4311688
ILMN_1783312	74.68663	0.6207792
ILMN_2143210	78.95667	0.4246753
ILMN_1750294	75.04913	0.6025974
ILMN_1708348	714.6691	0
ILMN_1727524	141.2786	0.02987013
ILMN_1716909	71.04572	0.8506494
ILMN_2103107	127.6381	0.04155844
ILMN_1673566	92.5335	0.1779221
ILMN_1751168	80.53389	0.3805195
ILMN_1660970	77.25402	0.4831169
ILMN_1787386	74.29543	0.651948
ILMN_2286570	73.96675	0.6714286
ILMN_2413732	77.77398	0.4636364
ILMN_1873412	94.64841	0.161039
ILMN_1676452	76.46792	0.5298702
ILMN_2358134	80.90405	0.3688312
ILMN_1683781	74.7889	0.612987
ILMN_1726247	77.07706	0.4883117
ILMN_1682989	148.1693	0.02727273
ILMN_1739872	82.35283	0.3298701
ILMN_1770152	71.44751	0.8363636
ILMN_1656171	72.31543	0.7753247
ILMN_1796628	75.61419	0.5701299
ILMN_1811765	75.48724	0.5753247
ILMN_1791795	71.75578	0.8038961
ILMN_1787908	77.51054	0.4727273
ILMN_1651717	90.88346	0.1948052
ILMN_1703803	67.83657	0.9766234
ILMN_2092933	80.64496	0.3753247
ILMN_1681886	79.67268	0.4077922
ILMN_1767362	77.13677	0.487013
ILMN_3251322	75.85184	0.5636364
ILMN_2211790	72.54494	0.7584416
ILMN_1672403	74.90372	0.6090909
ILMN_1805543	91.6911	0.1857143
ILMN_1706992	153.19	0.02207792
ILMN_1684919	75.37078	0.5792208
ILMN_1727084	80.43021	0.3844156
ILMN_1705250	72.51819	0.7597402
ILMN_1722621	83.67443	0.2935065
ILMN_1721495	87.02451	0.2363636
ILMN_1798690	75.75116	0.5675325
ILMN_1687035	134.138	0.03636364
ILMN_1777683	94.6922	0.161039
ILMN_1762294	106.2841	0.08701298
ILMN_1793040	128.6183	0.04155844
ILMN_3247424	157.6706	0.02077922
ILMN_1763000	253.72	0.001298701
ILMN_1776777	1817.592	0
ILMN_1706963	75.00969	0.6051948
ILMN_2320964	630.5345	0
ILMN_1697628	99.32819	0.1181818
ILMN_2319326	134.0063	0.03636364
ILMN_1657442	95.09308	0.1545455
ILMN_1679797	294.8818	0
ILMN_1749493	71.67341	0.8090909
ILMN_1657139	199.9772	0.006493506
ILMN_3245693	85.17674	0.2649351
ILMN_1806275	96.06857	0.1480519
ILMN_1659599	97.92727	0.1350649
ILMN_1698777	118.7182	0.05064935
ILMN_1663132	133.6025	0.03766234
ILMN_1700349	115.5721	0.05324675
ILMN_1761309	85.60024	0.2597403
ILMN_2120555	86.89848	0.2376623
ILMN_1742073	65.3885	0.9974026
ILMN_3241894	114.8328	0.05584415
ILMN_1810691	110.3021	0.07012987
ILMN_1676893	201.0842	0.006493506
ILMN_2148944	135.0525	0.03636364
ILMN_1708588	75.21944	0.5974026
ILMN_2311674	86.73448	0.238961
ILMN_1685156	79.6312	0.4077922
ILMN_1655935	277.7793	0
ILMN_1754440	86.09967	0.2493507
ILMN_1654287	88.22518	0.2181818
ILMN_1763344	85.31297	0.2636364
ILMN_1711736	135.9412	0.03376623
ILMN_2356786	172.9937	0.01298701
ILMN_1759252	1913.372	0
ILMN_1678791	76.60968	0.5194805
ILMN_2336146	69.22073	0.9415584
ILMN_2286339	84.18835	0.2753247
ILMN_1694133	74.55978	0.6311688
ILMN_1678501	81.78611	0.3454545
ILMN_1787378	672.6697	0
ILMN_1814526	1142.849	0
ILMN_2311278	479.1604	0
ILMN_1764309	143.0417	0.02987013
ILMN_1811598	77.51017	0.4727273
ILMN_1740717	72.69486	0.7506493
ILMN_2136010	78.28111	0.4454545
ILMN_1797912	75.3481	0.5805195
ILMN_1738604	86.95754	0.2376623
ILMN_1691175	126.0607	0.04285714
ILMN_2223359	73.52719	0.6935065
ILMN_1702858	204.2197	0.005194805
ILMN_2363634	128.0737	0.04155844
ILMN_1813975	91.29774	0.1896104
ILMN_1743331	72.68869	0.7506493
ILMN_1775045	98.73464	0.125974
ILMN_2096322	409.207	0
ILMN_1688322	477.5842	0
ILMN_2224833	248.5777	0.002597403
ILMN_2358626	153.5233	0.02207792
ILMN_1768062	79.39306	0.4155844
ILMN_2358628	83.49979	0.2974026
ILMN_1801020	100.0038	0.1155844
ILMN_1708934	1145.958	0
ILMN_1702933	178.6569	0.009090909
ILMN_1657993	247.1454	0.002597403
ILMN_1666019	145.9138	0.02857143
ILMN_2080751	160.3828	0.01818182
ILMN_1690352	143.9724	0.02987013
ILMN_2275396	87.74968	0.225974
ILMN_2373444	105.8978	0.08831169
ILMN_1747227	138.7793	0.03116883
ILMN_1807372	154.0957	0.02207792
ILMN_1703946	100.3651	0.1155844
ILMN_1733259	112.5169	0.06233766
ILMN_1730710	123.0453	0.04805195
ILMN_1793959	388.4123	0
ILMN_1794512	102.4511	0.0987013
ILMN_1795788	70.06909	0.9012987
ILMN_1760335	121.5459	0.04935065
ILMN_1788530	128.8829	0.04155844
ILMN_1811480	195.0952	0.007792208
ILMN_1813598	92.75522	0.174026
ILMN_1653821	84.24733	0.274026
ILMN_1780551	80.87076	0.3688312
ILMN_1669227	72.83363	0.7454545
ILMN_1709167	72.76371	0.7480519
ILMN_1679754	99.66525	0.1168831
ILMN_1716421	156.7565	0.02077922
ILMN_1659371	282.2426	0
ILMN_1677868	86.20011	0.2467532
ILMN_1707445	72.16747	0.7818182
ILMN_1733963	138.2869	0.03246753
ILMN_1804255	73.8829	0.6753247
ILMN_1695590	520.991	0
ILMN_1694007	79.12249	0.4194805
ILMN_3307926	2563.182	0
ILMN_1673330	100.97	0.1103896
ILMN_1668900	107.3376	0.08311688
ILMN_2389013	161.0973	0.01818182
ILMN_1760143	393.8166	0
ILMN_1790757	396.7392	0
ILMN_2092664	468.4996	0
ILMN_1778796	240.8058	0.003896104
ILMN_1749804	116.139	0.05194805
ILMN_1720235	82.89308	0.3116883
ILMN_2240009	81.079	0.3649351
ILMN_1736178	81.22096	0.3623376
ILMN_1803376	192.3846	0.007792208
ILMN_3240321	96.2632	0.1454545
ILMN_1712944	944.8719	0
ILMN_2333107	365.4003	0
ILMN_1707958	85.07786	0.2649351
ILMN_1660424	69.53937	0.9272727
ILMN_1701998	94.05688	0.1649351
ILMN_1651235	76.34997	0.5350649
ILMN_1694140	70.34503	0.8844156
ILMN_1730995	97.31915	0.1376623
ILMN_2404917	88.43437	0.2181818
ILMN_1702696	81.73662	0.3467532
ILMN_2084562	74.20156	0.6571429
ILMN_1769563	80.42731	0.3844156
ILMN_1673119	110.3111	0.07012987
ILMN_2129015	184.9104	0.009090909
ILMN_1725889	74.72062	0.6181818
ILMN_1775235	107.3508	0.08311688
ILMN_1677951	71.36404	0.8389611
ILMN_1708502	151.8968	0.02467532
ILMN_1705447	159.8208	0.01818182
ILMN_1699172	105.3725	0.08961039
ILMN_2409898	74.15031	0.6623377
ILMN_2295698	82.09048	0.3376623
ILMN_2066124	207.3509	0.005194805
ILMN_1777797	69.49344	0.9272727
ILMN_2095653	88.4228	0.2181818
ILMN_1707551	108.9345	0.07402597
ILMN_1782204	68.22855	0.9714286
ILMN_2402766	245.0721	0.002597403
ILMN_1767722	105.2968	0.08961039
ILMN_2342841	226.5028	0.003896104
