PROBE_ID	7677153059_H.VALUE	7677153059_H.Detection Pval
ILMN_1683781	76.8166	0.561039
ILMN_1726247	77.28685	0.5337662
ILMN_1682989	148.5683	0.02207792
ILMN_1739872	77.01481	0.5441558
ILMN_1770152	74.06185	0.6948052
ILMN_1656171	71.99408	0.8636364
ILMN_1796628	77.79564	0.5077922
ILMN_1811765	76.53911	0.5701299
ILMN_1791795	70.17326	0.9415584
ILMN_1787908	82.15276	0.3337662
ILMN_1651717	79.26923	0.4337662
ILMN_1703803	79.77583	0.4155844
ILMN_2092933	87.20229	0.2194805
ILMN_1681886	77.83902	0.5051948
ILMN_1767362	76.21663	0.5922078
ILMN_3251322	77.0125	0.5441558
ILMN_2211790	73.89551	0.7090909
ILMN_1672403	74.41035	0.674026
ILMN_1805543	91.07494	0.1753247
ILMN_1706992	143.0008	0.02857143
ILMN_1684919	76.57996	0.5649351
ILMN_1727084	76.5977	0.5636364
ILMN_1705250	72.05039	0.8597403
ILMN_1722621	79.94667	0.4077922
ILMN_1721495	83.27013	0.3038961
ILMN_1798690	76.23309	0.5909091
ILMN_1687035	138.0273	0.03116883
ILMN_1777683	94.19039	0.1467533
ILMN_1762294	117.4073	0.04805195
ILMN_1793040	113.8251	0.05584415
ILMN_3247424	191.0598	0.005194805
ILMN_1763000	260.4176	0
ILMN_1776777	2455.833	0
ILMN_1706963	73.39794	0.7506493
ILMN_2320964	963.457	0
ILMN_1697628	107.0363	0.08181818
ILMN_2319326	152.6355	0.01948052
ILMN_1657442	96.04285	0.1298701
ILMN_1679797	315.3855	0
ILMN_1749493	73.75737	0.7181818
ILMN_1657139	166.5445	0.01038961
ILMN_3245693	72.42999	0.8220779
ILMN_1806275	98.38046	0.1155844
ILMN_1659599	95.95672	0.1298701
ILMN_1698777	108.5076	0.07662338
ILMN_1663132	129.8888	0.03766234
ILMN_1700349	122.4402	0.04545455
ILMN_1761309	87.30038	0.2168831
ILMN_2120555	82.06371	0.3337662
ILMN_1742073	70.93146	0.9116883
ILMN_3241894	103.9491	0.08701298
ILMN_1810691	106.4439	0.08311688
ILMN_1676893	174.4182	0.01038961
ILMN_2148944	161.5163	0.01428571
ILMN_1708588	75.96127	0.6012987
ILMN_2311674	87.77915	0.212987
ILMN_1685156	87.35467	0.2155844
ILMN_1655935	260.8987	0
ILMN_1754440	81.31967	0.361039
ILMN_1654287	100.4279	0.1
ILMN_1763344	87.56477	0.2142857
ILMN_1711736	137.6542	0.03246753
ILMN_2356786	193.0493	0.005194805
ILMN_1759252	2133.458	0
ILMN_1678791	77.19086	0.5363637
ILMN_2336146	70.40913	0.9311689
ILMN_2286339	86.52876	0.2337662
ILMN_1694133	73.28505	0.7584416
ILMN_1678501	75.43771	0.6272727
ILMN_1787378	495.2124	0
ILMN_1814526	847.9672	0
ILMN_2311278	386.0831	0
ILMN_1764309	120.4818	0.04805195
ILMN_1811598	75.78368	0.6051948
ILMN_1740717	73.31087	0.7571428
ILMN_2136010	76.61934	0.5636364
ILMN_1797912	74.10114	0.6935065
ILMN_1738604	81.67464	0.3428572
ILMN_1691175	133.1424	0.03506494
ILMN_2223359	72.74809	0.7948052
ILMN_1702858	165.9955	0.01168831
ILMN_2363634	106.4867	0.08311688
ILMN_1813975	95.27497	0.1337662
ILMN_1743331	73.7254	0.7233766
ILMN_1775045	98.72205	0.1116883
ILMN_2096322	542.0565	0
ILMN_1688322	943.1659	0
ILMN_2224833	217.8725	0.005194805
ILMN_2358626	122.1325	0.04545455
ILMN_1768062	76.06663	0.5987013
ILMN_2358628	80.62143	0.3779221
ILMN_1801020	96.41982	0.1285714
ILMN_1708934	4135.102	0
ILMN_1702933	166.2836	0.01168831
ILMN_1657993	182.8993	0.009090909
ILMN_1666019	148.3035	0.02207792
ILMN_2080751	159.5292	0.01428571
ILMN_1690352	139.5386	0.02857143
ILMN_2275396	91.02503	0.1753247
ILMN_2373444	114.5629	0.05454545
ILMN_1747227	123.7123	0.04545455
ILMN_1807372	236.4986	0.002597403
ILMN_1703946	100.472	0.1
ILMN_1733259	95.01467	0.1376623
ILMN_1730710	92.68179	0.161039
ILMN_1793959	423.947	0
ILMN_1794512	92.00684	0.1688312
ILMN_1795788	75.99262	0.6
ILMN_1760335	126.625	0.04155844
ILMN_1788530	120.9182	0.04805195
ILMN_1811480	140.4273	0.02857143
ILMN_1813598	105.7192	0.08441558
ILMN_1653821	85.74529	0.2467532
ILMN_1780551	81.40015	0.3558442
ILMN_1669227	69.63523	0.9545454
ILMN_1709167	79.22353	0.4363636
ILMN_1679754	99.67285	0.1103896
