PROBE_ID	7677153059_C.VALUE	7677153059_C.Detection Pval
ILMN_1684585	1274.399	0
ILMN_2360705	202.2621	0.005194805
ILMN_1654414	96.94785	0.1623377
ILMN_1666096	115.2758	0.05974026
ILMN_2391458	119.6254	0.05324675
ILMN_2285506	89.72958	0.3025974
ILMN_1691714	90.48064	0.2766234
ILMN_1683598	386.8984	0
ILMN_2370882	126.598	0.04545455
ILMN_2273911	82.26372	0.7
ILMN_1807914	75.19984	0.9909091
ILMN_1678517	81.97366	0.7142857
ILMN_1705247	370.4748	0
ILMN_1737418	96.26227	0.1675325
ILMN_2278242	81.72998	0.7311688
ILMN_1730025	84.09521	0.5779221
ILMN_2378555	118.9232	0.05324675
ILMN_1661434	80.83098	0.7935065
ILMN_1809623	80.98885	0.7792208
ILMN_1657592	81.6553	0.7376623
ILMN_1765912	88.32815	0.3506494
ILMN_1746128	84.42917	0.5519481
ILMN_1685952	89.66111	0.3038961
ILMN_1662738	85.86698	0.4610389
ILMN_1771084	96.34998	0.1662338
ILMN_1791923	80.08627	0.8376623
ILMN_1801698	81.23021	0.7636364
ILMN_1766966	80.14207	0.8337662
ILMN_2070792	93.07007	0.2116883
ILMN_1752269	182.7508	0.009090909
ILMN_1697510	92.24707	0.2324675
ILMN_2254962	91.54636	0.2532468
ILMN_2336595	266.6003	0.001298701
ILMN_1714197	307.8201	0
ILMN_1742859	85.37903	0.487013
ILMN_1659885	88.29824	0.3506494
ILMN_2125869	104.2808	0.09350649
ILMN_1671703	264.8157	0.001298701
ILMN_2152131	10051.18	0
ILMN_1777296	6687.117	0
ILMN_2038777	10297.8	0
ILMN_3246895	81.7421	0.7298701
ILMN_1658660	87.19616	0.3987013
ILMN_1829919	85.75263	0.4636364
ILMN_2053178	7830.556	0
ILMN_1704961	2316.237	0
ILMN_1795325	85.45824	0.4818182
ILMN_1749297	239.1121	0.003896104
ILMN_2328280	155.7822	0.02077922
ILMN_1657855	212.8802	0.005194805
ILMN_1717900	83.60052	0.6051948
ILMN_1796088	82.69359	0.6844156
ILMN_1704078	81.41113	0.7532467
ILMN_2232177	967.8076	0
ILMN_1654422	81.73041	0.7311688
ILMN_1665691	95.35088	0.1766234
ILMN_1725534	299.0342	0
ILMN_1798254	315.1136	0
ILMN_1792314	286.6368	0
ILMN_1695821	312.8042	0
ILMN_2388605	1865.604	0
ILMN_1657153	397.6072	0
ILMN_2260392	88.69364	0.3324675
ILMN_2346451	90.69469	0.2727273
ILMN_1787513	91.47784	0.2584416
ILMN_1680941	92.81758	0.2233766
ILMN_1652594	125.3574	0.04675325
ILMN_1697585	198.7073	0.005194805
ILMN_1689162	93.21236	0.2103896
ILMN_1815392	211.7234	0.005194805
ILMN_3241416	79.42396	0.874026
ILMN_1760490	188.7041	0.007792208
ILMN_1786544	84.1161	0.5779221
ILMN_1763916	101.3962	0.1090909
ILMN_2243308	190.976	0.007792208
ILMN_1766723	90.26971	0.2857143
ILMN_1689217	83.12028	0.6454545
ILMN_1670912	89.87446	0.2935065
ILMN_2152711	101.8896	0.1077922
ILMN_1668983	78.45636	0.9220779
ILMN_1824337	83.14566	0.6441559
ILMN_1807493	83.66355	0.6
ILMN_3250257	87.40556	0.3935065
ILMN_1683883	98.25209	0.1441558
ILMN_1670193	113.3262	0.06233766
ILMN_2319825	110.8568	0.07012987
ILMN_1694233	189.2724	0.007792208
ILMN_1686432	81.877	0.7181818
ILMN_1697550	171.3778	0.01168831
ILMN_2158705	115.2865	0.05974026
ILMN_1803686	191.9372	0.007792208
ILMN_1745580	80.09101	0.8376623
ILMN_1745108	76.62434	0.974026
ILMN_1725043	98.12918	0.1441558
ILMN_2148360	109.2252	0.07662338
ILMN_1718946	210.4005	0.005194805
ILMN_1711374	94.60931	0.1909091
ILMN_1726266	86.55093	0.4337662
ILMN_1705689	83.98655	0.5857143
ILMN_1785393	87.22743	0.3987013
ILMN_2384544	140.886	0.03376623
ILMN_1756920	399.3882	0
ILMN_1799728	105.4744	0.08961039
ILMN_1751500	95.65041	0.1727273
ILMN_2121068	370.0157	0
ILMN_1765779	102.5816	0.1
ILMN_2201386	82.08925	0.7077922
ILMN_1682225	81.8716	0.7181818
ILMN_1788481	93.45985	0.2064935
ILMN_1713751	1071.348	0
ILMN_1662675	88.22945	0.3558442
ILMN_1737629	88.56595	0.3402597
ILMN_1812112	84.88141	0.5142857
ILMN_3241313	78.21162	0.9324675
ILMN_1675210	82.82664	0.674026
ILMN_1706302	77.78822	0.9467533
ILMN_2351754	79.32439	0.8779221
ILMN_2060086	82.1421	0.7064935
ILMN_1664236	92.26787	0.2324675
ILMN_1664631	135.8318	0.03636364
ILMN_1802100	95.43153	0.1753247
ILMN_2194158	83.06482	0.6493506
ILMN_2100871	80.21073	0.8272727
ILMN_1806841	117.3837	0.05454545
ILMN_1798045	82.85941	0.6714286
ILMN_2293012	78.99352	0.8935065
ILMN_1703383	103.7611	0.0961039
ILMN_1651657	85.60703	0.4714286
ILMN_1671297	116.3542	0.05454545
ILMN_1669486	77.55404	0.9480519
ILMN_1795204	85.43652	0.4857143
ILMN_2223911	77.14694	0.9636363
ILMN_1685531	80.73697	0.7987013
ILMN_1764554	82.50539	0.6922078
ILMN_2302214	81.03185	0.7766234
ILMN_1783312	84.79014	0.5194805
ILMN_2143210	79.1503	0.8857143
ILMN_1750294	82.6769	0.6857143
ILMN_1708348	827.3336	0
ILMN_1727524	131.7221	0.04155844
ILMN_1716909	87.51347	0.3844156
ILMN_2103107	117.4826	0.05454545
ILMN_1673566	84.58834	0.5337662
ILMN_1751168	84.00037	0.5857143
ILMN_1660970	82.61752	0.6883117
ILMN_1787386	83.57228	0.6064935
ILMN_2286570	86.14365	0.4467532
ILMN_2413732	85.40261	0.487013
ILMN_1873412	95.633	0.1727273
ILMN_1676452	84.13906	0.5766234
ILMN_2358134	85.09798	0.5038961
ILMN_1683781	79.47529	0.8727273
ILMN_1726247	87.04195	0.4064935
ILMN_1682989	160.7825	0.01428571
ILMN_1739872	83.37625	0.6298701
ILMN_1770152	81.01031	0.7792208
ILMN_1656171	83.59634	0.6051948
ILMN_1796628	86.63321	0.4311688
ILMN_1811765	85.89875	0.4597403
ILMN_1791795	83.45294	0.6168831
ILMN_1787908	87.26241	0.3987013
ILMN_1651717	91.41895	0.2584416
ILMN_1703803	80.89003	0.7896104
ILMN_2092933	87.82394	0.3675325
ILMN_1681886	84.80605	0.5194805
ILMN_1767362	86.40892	0.4363636
ILMN_3251322	79.24282	0.8792208
ILMN_2211790	79.68151	0.8623376
ILMN_1672403	82.96822	0.6623377
ILMN_1805543	86.6479	0.4311688
ILMN_1706992	131.5709	0.04155844
ILMN_1684919	83.75484	0.5948052
ILMN_1727084	85.78314	0.4636364
ILMN_1705250	87.15456	0.4012987
ILMN_1722621	84.59761	0.5324675
ILMN_1721495	94.02288	0.1987013
ILMN_1798690	92.71385	0.2246753
ILMN_1687035	122.8756	0.04935065
ILMN_1777683	100.3654	0.1181818
ILMN_1762294	115.0507	0.05974026
ILMN_1793040	129.106	0.04415584
ILMN_3247424	158.4608	0.01558442
ILMN_1763000	236.2466	0.003896104
ILMN_1776777	2213.151	0
ILMN_1706963	79.62109	0.8636364
ILMN_2320964	788.3547	0
ILMN_1697628	104.2293	0.09350649
ILMN_2319326	155.0932	0.02077922
ILMN_1657442	95.29768	0.1792208
ILMN_1679797	379.6567	0
ILMN_1749493	93.34801	0.2077922
ILMN_1657139	210.9473	0.005194805
ILMN_3245693	86.46945	0.4350649
ILMN_1806275	101.7132	0.1077922
ILMN_1659599	95.49008	0.1753247
ILMN_1698777	120.0527	0.05324675
ILMN_1663132	124.1123	0.04805195
ILMN_1700349	119.4477	0.05324675
ILMN_1761309	97.43906	0.1584416
ILMN_2120555	91.00839	0.2688312
ILMN_1742073	82.02724	0.7103896
ILMN_3241894	106.5983	0.08571429
ILMN_1810691	103.0139	0.1
ILMN_1676893	217.4174	0.005194805
ILMN_2148944	123.4515	0.04935065
ILMN_1708588	87.04739	0.4064935
ILMN_2311674	97.20091	0.161039
ILMN_1685156	89.37812	0.312987
ILMN_1655935	231.5854	0.003896104
ILMN_1754440	86.94519	0.4116883
ILMN_1654287	94.50113	0.1935065
ILMN_1763344	87.98613	0.361039
ILMN_1711736	109.8734	0.07142857
ILMN_2356786	172.5201	0.009090909
ILMN_1759252	1611.458	0
ILMN_1678791	86.73032	0.4272727
ILMN_2336146	83.76122	0.5948052
ILMN_2286339	95.6815	0.1727273
ILMN_1694133	83.79233	0.5935065
ILMN_1678501	87.63687	0.3766234
ILMN_1787378	679.6102	0
ILMN_1814526	907.2452	0
ILMN_2311278	547.2632	0
ILMN_1764309	131.558	0.04155844
ILMN_1811598	83.95715	0.5883117
