PROBE_ID	7677153059_E.VALUE	7677153059_E.Detection Pval
ILMN_1654468	197.5959	0.007792208
ILMN_2320277	111.017	0.1025974
ILMN_2227011	97.13708	0.2233766
ILMN_1730002	93.96033	0.2948052
ILMN_3236756	97.22485	0.2220779
ILMN_1716832	93.23665	0.3194805
ILMN_1684585	2815.846	0
ILMN_2360705	282.4848	0
ILMN_1654414	130.6896	0.04415584
ILMN_1666096	116.7147	0.07532468
ILMN_2391458	141.2392	0.03506494
ILMN_2285506	102.9787	0.1493506
ILMN_1691714	97.85085	0.2116883
ILMN_1683598	538.0779	0
ILMN_2370882	133.1981	0.04155844
ILMN_2273911	93.38261	0.3155844
ILMN_1807914	80.4688	0.9467533
ILMN_1678517	80.05845	0.9597403
ILMN_1705247	280.0428	0
ILMN_1737418	95.34103	0.2584416
ILMN_2278242	83.56757	0.8168831
ILMN_1730025	92.5789	0.3324675
ILMN_2378555	129.5515	0.04545455
ILMN_1661434	83.47694	0.8220779
ILMN_1809623	87.99524	0.5168831
ILMN_1657592	81.73977	0.9064935
ILMN_1765912	86.57393	0.6103896
ILMN_1746128	88.23684	0.5077922
ILMN_1685952	87.89016	0.5207792
ILMN_1662738	85.35273	0.6909091
ILMN_1771084	94.96678	0.2675325
ILMN_1791923	85.83958	0.6571429
ILMN_1801698	85.79492	0.6597403
ILMN_1766966	86.47744	0.6168831
ILMN_2070792	105.6478	0.1181818
ILMN_1752269	141.2107	0.03506494
ILMN_1697510	98.00159	0.2116883
ILMN_2254962	99.24834	0.1935065
ILMN_2336595	365.6472	0
ILMN_1714197	436.1775	0
ILMN_1742859	84.97752	0.712987
ILMN_1659885	85.78356	0.6597403
ILMN_2125869	115.6514	0.08051948
ILMN_1671703	340.7039	0
ILMN_2152131	10308.63	0
ILMN_1777296	9321.879	0
ILMN_2038777	10377.8	0
ILMN_3246895	86.52377	0.6142857
ILMN_1658660	91.41079	0.3714286
ILMN_1829919	86.06355	0.6415585
ILMN_2053178	7422.573	0
ILMN_1704961	2797.046	0
ILMN_1795325	83.78117	0.8051948
ILMN_1749297	172.9306	0.01428571
ILMN_2328280	116.975	0.07532468
ILMN_1657855	199.1113	0.007792208
ILMN_1717900	85.84766	0.6571429
ILMN_1796088	88.36951	0.4987013
ILMN_1704078	85.86822	0.6532468
ILMN_2232177	1396.374	0
ILMN_1654422	93.83341	0.2961039
ILMN_1665691	103.324	0.1428571
ILMN_1725534	284.5959	0
ILMN_1798254	246.699	0.003896104
ILMN_1792314	248.1887	0.003896104
ILMN_1695821	331.6873	0
ILMN_2388605	2439.952	0
ILMN_1657153	522.9314	0
ILMN_2260392	91.61813	0.3688312
ILMN_2346451	87.40031	0.5506493
ILMN_1787513	98.98682	0.1974026
ILMN_1680941	94.72197	0.274026
ILMN_1652594	127.0956	0.05064935
ILMN_1697585	147.5756	0.02857143
ILMN_1689162	98.03639	0.2103896
ILMN_1815392	222.5378	0.003896104
ILMN_3241416	81.9763	0.8974026
ILMN_1760490	214.5854	0.005194805
ILMN_1786544	90.53376	0.4025974
ILMN_1763916	114.4898	0.08571429
ILMN_2243308	163.4405	0.01688312
ILMN_1766723	92.64098	0.3298701
ILMN_1689217	92.46082	0.3376623
ILMN_1670912	98.53033	0.2038961
ILMN_2152711	91.89313	0.3545454
ILMN_1668983	87.06809	0.5779221
ILMN_1824337	88.37019	0.4987013
ILMN_1807493	84.45515	0.7454545
ILMN_3250257	90.01852	0.4207792
ILMN_1683883	100.182	0.1818182
ILMN_1670193	116.4978	0.07532468
ILMN_2319825	108.2835	0.1090909
ILMN_1694233	144.0715	0.03376623
ILMN_1686432	84.77582	0.7285714
ILMN_1697550	193.3184	0.007792208
ILMN_2158705	119.2007	0.06493507
ILMN_1803686	175.6737	0.01168831
ILMN_1745580	85.31206	0.6909091
ILMN_1745108	84.08333	0.7792208
ILMN_1725043	92.68894	0.3298701
