PROBE_ID	7677153059_D.VALUE	7677153059_D.Detection Pval
ILMN_2328280	145.4928	0.05064935
ILMN_1657855	245.1601	0.005194805
ILMN_1717900	95.67254	0.8090909
ILMN_1796088	101.9614	0.4779221
ILMN_1704078	94.04867	0.8935065
ILMN_2232177	1135.912	0
ILMN_1654422	104.1546	0.3987013
ILMN_1665691	119.6599	0.1363636
ILMN_1725534	227.537	0.005194805
ILMN_1798254	264.5538	0.003896104
ILMN_1792314	263.9945	0.003896104
ILMN_1695821	271.9929	0.003896104
ILMN_2388605	2091.943	0
ILMN_1657153	456.253	0
ILMN_2260392	106.0352	0.3441558
ILMN_2346451	101.22	0.5051948
ILMN_1787513	104.7563	0.3831169
ILMN_1680941	102.9814	0.4402598
ILMN_1652594	122.935	0.1155844
ILMN_1697585	155.4455	0.04025974
ILMN_1689162	102.5766	0.448052
ILMN_1815392	206.4295	0.009090909
ILMN_3241416	90.7487	0.9714286
ILMN_1760490	173.9954	0.02597403
ILMN_1786544	112.6988	0.2155844
ILMN_1763916	127.6057	0.09090909
ILMN_2243308	218.0892	0.006493506
ILMN_1766723	109.1874	0.2675325
ILMN_1689217	108.7652	0.2792208
ILMN_1670912	104.6341	0.3831169
ILMN_2152711	107.75	0.2961039
ILMN_1668983	98.9845	0.6103896
ILMN_1824337	104.0255	0.4012987
ILMN_1807493	95.12618	0.8350649
ILMN_3250257	110.5151	0.2441558
ILMN_1683883	101.8041	0.4831169
ILMN_1670193	149.5995	0.04675325
ILMN_2319825	117.0572	0.1584416
ILMN_1694233	146.2917	0.04935065
ILMN_1686432	100.6322	0.525974
ILMN_1697550	201.9888	0.01038961
ILMN_2158705	116.7271	0.161039
ILMN_1803686	140.472	0.05714286
ILMN_1745580	94.84381	0.8597403
ILMN_1745108	96.83868	0.738961
ILMN_1725043	112.8935	0.2142857
ILMN_2148360	131.8386	0.07402597
ILMN_1718946	270.7931	0.003896104
ILMN_1711374	105.1677	0.3675325
ILMN_1726266	100.4849	0.5324675
ILMN_1705689	97.23142	0.712987
ILMN_1785393	103.9555	0.4025974
ILMN_2384544	136.2016	0.06493507
ILMN_1756920	311.2433	0
ILMN_1799728	120.9587	0.1285714
ILMN_1751500	115.0532	0.1818182
ILMN_2121068	373.4074	0
ILMN_1765779	117.4382	0.1545455
ILMN_2201386	96.66625	0.7532467
ILMN_1682225	95.35535	0.825974
ILMN_1788481	121.7096	0.1233766
ILMN_1713751	870.8931	0
ILMN_1662675	105.1815	0.3662338
ILMN_1737629	95.43926	0.8207792
ILMN_1812112	103.2591	0.4337662
ILMN_3241313	96.46178	0.7688312
ILMN_1675210	98.58535	0.638961
ILMN_1706302	100.4938	0.5324675
ILMN_2351754	91.52242	0.9623377
ILMN_2060086	93.9325	0.8961039
ILMN_1664236	104.1968	0.3974026
ILMN_1664631	104.1736	0.3974026
ILMN_1802100	105.791	0.3532467
ILMN_2194158	103.9813	0.4025974
ILMN_2100871	101.2877	0.5038961
ILMN_1806841	129.0028	0.08441558
ILMN_1798045	94.39371	0.8792208
ILMN_2293012	93.03668	0.9350649
ILMN_1703383	132.2971	0.07402597
ILMN_1651657	113.7796	0.2051948
ILMN_1671297	138.0315	0.06103896
ILMN_1669486	92.39576	0.9480519
ILMN_1795204	101.559	0.4948052
ILMN_2223911	99.99143	0.5571429
ILMN_1685531	95.09446	0.8350649
ILMN_1764554	96.83845	0.738961
ILMN_2302214	111.1895	0.2337662
ILMN_1783312	104.7904	0.3831169
ILMN_2143210	97.17952	0.7181818
ILMN_1750294	92.63644	0.9441559
ILMN_1708348	666.8907	0
ILMN_1727524	170.5126	0.02987013
ILMN_1716909	96.69435	0.7519481
ILMN_2103107	155.0041	0.04025974
ILMN_1673566	98.1573	0.6558442
ILMN_1751168	101.45	0.4987013
ILMN_1660970	104.3391	0.3935065
ILMN_1787386	99.39537	0.5935065
ILMN_2286570	102.2712	0.4597403
ILMN_2413732	99.70249	0.5714286
ILMN_1873412	111.7896	0.2233766
ILMN_1676452	104.4485	0.3909091
ILMN_2358134	110.7683	0.2428571
ILMN_1683781	93.98191	0.8961039
ILMN_1726247	97.87012	0.6727273
ILMN_1682989	180.8728	0.01948052
ILMN_1739872	98.6656	0.635065
ILMN_1770152	95.80441	0.8064935
ILMN_1656171	91.19345	0.9662338
ILMN_1796628	97.11964	0.7220779
ILMN_1811765	104.4374	0.3909091
ILMN_1791795	93.66344	0.9077922
ILMN_1787908	101.1367	0.5077922
ILMN_1651717	108.3963	0.2844156
ILMN_1703803	95.78583	0.8077922
ILMN_2092933	103.0971	0.4363636
ILMN_1681886	102.9979	0.438961
ILMN_1767362	103.0495	0.438961
ILMN_3251322	97.82327	0.674026
ILMN_2211790	100.3848	0.5376623
ILMN_1672403	93.92097	0.8961039
ILMN_1805543	110.2744	0.2532468
ILMN_1706992	164.3468	0.03246753
ILMN_1684919	102.855	0.4415585
ILMN_1727084	101.9261	0.4792208
ILMN_1705250	94.70638	0.8675325
ILMN_1722621	108.3796	0.2844156
ILMN_1721495	113.1336	0.212987
ILMN_1798690	96.23138	0.7831169
ILMN_1687035	140.0695	0.05714286
ILMN_1777683	118.0967	0.1454545
ILMN_1762294	142.3139	0.05324675
ILMN_1793040	152.2962	0.04155844
ILMN_3247424	160.7124	0.03766234
ILMN_1763000	283.7904	0.001298701
ILMN_1776777	1598.136	0
ILMN_1706963	104.452	0.3909091
ILMN_2320964	664.8665	0
ILMN_1697628	130.0578	0.08181818
ILMN_2319326	147.0958	0.04805195
ILMN_1657442	123.6183	0.112987
ILMN_1679797	201.7841	0.01038961
ILMN_1749493	93.67044	0.9077922
ILMN_1657139	160.7303	0.03766234
ILMN_3245693	107.8397	0.2909091
ILMN_1806275	114.436	0.1896104
ILMN_1659599	116.6809	0.1623377
ILMN_1698777	135.0135	0.06493507
ILMN_1663132	129.6841	0.08311688
ILMN_1700349	122.4544	0.1207792
ILMN_1761309	104.9768	0.374026
ILMN_2120555	108.6674	0.2792208
ILMN_1742073	98.40871	0.6441559
ILMN_3241894	136.7763	0.06363636
ILMN_1810691	140.4984	0.05714286
ILMN_1676893	158.9002	0.03766234
ILMN_2148944	147.034	0.04805195
ILMN_1708588	100.9851	0.5194805
ILMN_2311674	114.2867	0.1948052
ILMN_1685156	111.1015	0.2337662
ILMN_1655935	202.1478	0.01038961
ILMN_1754440	108.256	0.2857143
ILMN_1654287	113.0539	0.212987
ILMN_1763344	109.0026	0.2727273
ILMN_1711736	166.2646	0.03246753
ILMN_2356786	145.8182	0.05064935
ILMN_1759252	1297.065	0
ILMN_1678791	98.61305	0.6376624
ILMN_2336146	93.44164	0.9220779
ILMN_2286339	112.7604	0.2155844
ILMN_1694133	101.0925	0.5077922
ILMN_1678501	98.35564	0.6454545
ILMN_1787378	454.2206	0
ILMN_1814526	719.0176	0
ILMN_2311278	395.5403	0
ILMN_1764309	158.7123	0.03766234
ILMN_1811598	92.9757	0.9350649
ILMN_1740717	103.4743	0.4220779
ILMN_2136010	102.1171	0.4714286
ILMN_1797912	94.86772	0.8584415
ILMN_1738604	106.3118	0.3285714
ILMN_1691175	154.7712	0.04025974
ILMN_2223359	101.1395	0.5077922
ILMN_1702858	155.2648	0.04025974
ILMN_2363634	125.1403	0.1038961
ILMN_1813975	109.7886	0.2623377
ILMN_1743331	96.64817	0.7532467
ILMN_1775045	117.2523	0.1571429
ILMN_2096322	438.2656	0
ILMN_1688322	556.9993	0
ILMN_2224833	177.2798	0.02207792
ILMN_2358626	132.5057	0.07402597
ILMN_1768062	102.9688	0.4402598
ILMN_2358628	103.3584	0.4298701
ILMN_1801020	111.0289	0.2363636
ILMN_1708934	3079.711	0
ILMN_1702933	200.0976	0.01168831
ILMN_1657993	179.0784	0.01948052
ILMN_1666019	156.2289	0.04025974
ILMN_2080751	136.2077	0.06493507
ILMN_1690352	133.8056	0.07012987
ILMN_2275396	119.0535	0.1402597
ILMN_2373444	136.7007	0.06363636
ILMN_1747227	152.1857	0.04155844
ILMN_1807372	228.4221	0.005194805
ILMN_1703946	133.1182	0.07272727
ILMN_1733259	132.2154	0.07402597
ILMN_1730710	117.9864	0.1454545
ILMN_1793959	300.9476	0
ILMN_1794512	111.1094	0.2337662
ILMN_1795788	90.09444	0.9792208
ILMN_1760335	132.4089	0.07402597
ILMN_1788530	148.2249	0.04805195
ILMN_1811480	146.6395	0.04935065
ILMN_1813598	127.5377	0.09220779
ILMN_1653821	108.1368	0.2883117
ILMN_1780551	107.4801	0.3051948
ILMN_1669227	92.89424	0.9376624
ILMN_1709167	100.1014	0.5467532
ILMN_1679754	132.1228	0.07402597
ILMN_1716421	195.4256	0.01298701
ILMN_1659371	292.6737	0
ILMN_1677868	102.0125	0.4779221
ILMN_1707445	95.05937	0.8402597
ILMN_1733963	163.8545	0.03376623
ILMN_1804255	105.0458	0.3727273
ILMN_1695590	396.9951	0
ILMN_1694007	99.47287	0.587013
ILMN_3307926	1647.74	0
ILMN_1673330	122.0524	0.1207792
ILMN_1668900	133.4374	0.07142857
ILMN_2389013	162.1655	0.03636364
ILMN_1760143	277.7911	0.001298701
ILMN_1790757	272.1151	0.003896104
ILMN_2092664	290.1186	0.001298701
ILMN_1778796	177.7182	0.02207792
ILMN_1749804	135.5968	0.06493507
ILMN_1720235	103.5854	0.4168831
ILMN_2240009	95.73391	0.8077922
ILMN_1736178	113.7454	0.2064935
